timestamp,combo_name,protein_name,ligand_name,status,scoring_function,error_reason,num_poses,elapsed_time_s,lig_molecular_weight,lig_heavy_atoms,lig_total_atoms,lig_rotatable_bonds,lig_num_rings,lig_aromatic_rings,lig_hbd,lig_hba,lig_tpsa,lig_logp,lig_formula,prot_num_residues,prot_num_atoms,prot_num_chains,exhaustiveness,num_modes,energy_range,cpu_model,best_affinity_kcal
2026-04-19T21:09:01.983743,2abp-nh2-OPT__Orai1WT-MDSnap-Fr300_meeko,Orai1WT-MDSnap-Fr300_meeko,2abp-nh2-OPT,success,vina,,10,12.3,,17,19,3,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-7.729
2026-04-19T21:09:01.986920,Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300_meeko,Orai1WT-MDSnap-Fr300_meeko,Synta-66-OPT-Singlet,success,vina,,10,12.3,,26,27,2,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-8.617
2026-04-19T21:09:01.989522,gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr300_meeko,Orai1WT-MDSnap-Fr300_meeko,gsk7975a-deprot-OPT,success,vina,,10,12.3,,28,29,2,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.786
2026-04-19T21:09:37.104891,2abp-nh2-OPT__Orai1WT-MDSnap-Fr400_meeko,Orai1WT-MDSnap-Fr400_meeko,2abp-nh2-OPT,success,vina,,10,11.7,,17,19,3,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-8.01
2026-04-19T21:09:37.108102,Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr400_meeko,Orai1WT-MDSnap-Fr400_meeko,Synta-66-OPT-Singlet,success,vina,,10,11.7,,26,27,2,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-8.953
2026-04-19T21:09:37.110926,gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr400_meeko,Orai1WT-MDSnap-Fr400_meeko,gsk7975a-deprot-OPT,success,vina,,10,11.7,,28,29,2,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.777
2026-04-19T21:10:11.891891,2abp-nh2-OPT__Orai1WT-MDSnap-Fr499_meeko,Orai1WT-MDSnap-Fr499_meeko,2abp-nh2-OPT,success,vina,,10,11.59,,17,19,3,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-7.668
2026-04-19T21:10:11.897929,Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr499_meeko,Orai1WT-MDSnap-Fr499_meeko,Synta-66-OPT-Singlet,success,vina,,10,11.59,,26,27,2,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.174
2026-04-19T21:10:11.904066,gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr499_meeko,Orai1WT-MDSnap-Fr499_meeko,gsk7975a-deprot-OPT,success,vina,,10,11.59,,28,29,2,,,,,,,,1338,12558,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-10.219
2026-04-19T21:10:46.220417,2abp-nh2-OPT__Orai1WT-START-Fr0_meeko_retry1,Orai1WT-START-Fr0_meeko_retry1,2abp-nh2-OPT,success,vina,,10,11.44,,17,19,3,,,,,,,,1333,12509,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-8.038
2026-04-19T21:10:46.223494,Synta-66-OPT-Singlet__Orai1WT-START-Fr0_meeko_retry1,Orai1WT-START-Fr0_meeko_retry1,Synta-66-OPT-Singlet,success,vina,,10,11.44,,26,27,2,,,,,,,,1333,12509,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.694
2026-04-19T21:10:46.226889,gsk7975a-deprot-OPT__Orai1WT-START-Fr0_meeko_retry1,Orai1WT-START-Fr0_meeko_retry1,gsk7975a-deprot-OPT,success,vina,,10,11.44,,28,29,2,,,,,,,,1333,12509,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-10.638
