timestamp,combo_name,protein_name,ligand_name,status,scoring_function,error_reason,num_poses,elapsed_time_s,lig_molecular_weight,lig_heavy_atoms,lig_total_atoms,lig_rotatable_bonds,lig_num_rings,lig_aromatic_rings,lig_hbd,lig_hba,lig_tpsa,lig_logp,lig_formula,prot_num_residues,prot_num_atoms,prot_num_chains,exhaustiveness,num_modes,energy_range,cpu_model,best_affinity_kcal
2026-04-19T21:06:38.747263,2abp-nh2-OPT__Orai1WT-MDSnap-Fr300_mgl_tools,Orai1WT-MDSnap-Fr300_mgl_tools,2abp-nh2-OPT,success,vina,,10,12.25,,17,19,3,,,,,,,,1338,12591,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-7.353
2026-04-19T21:06:38.754625,Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300_mgl_tools,Orai1WT-MDSnap-Fr300_mgl_tools,Synta-66-OPT-Singlet,success,vina,,10,12.25,,26,27,2,,,,,,,,1338,12591,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-8.587
2026-04-19T21:06:38.759423,gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr300_mgl_tools,Orai1WT-MDSnap-Fr300_mgl_tools,gsk7975a-deprot-OPT,success,vina,,10,12.25,,28,29,2,,,,,,,,1338,12591,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.815
2026-04-19T21:07:15.000921,2abp-nh2-OPT__Orai1WT-MDSnap-Fr400_mgl_tools,Orai1WT-MDSnap-Fr400_mgl_tools,2abp-nh2-OPT,success,vina,,10,12.08,,17,19,3,,,,,,,,1338,12601,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-7.165
2026-04-19T21:07:15.006175,Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr400_mgl_tools,Orai1WT-MDSnap-Fr400_mgl_tools,Synta-66-OPT-Singlet,success,vina,,10,12.08,,26,27,2,,,,,,,,1338,12601,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.047
2026-04-19T21:07:15.011275,gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr400_mgl_tools,Orai1WT-MDSnap-Fr400_mgl_tools,gsk7975a-deprot-OPT,success,vina,,10,12.08,,28,29,2,,,,,,,,1338,12601,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.868
2026-04-19T21:07:49.637670,2abp-nh2-OPT__Orai1WT-MDSnap-Fr499_mgl_tools,Orai1WT-MDSnap-Fr499_mgl_tools,2abp-nh2-OPT,success,vina,,10,11.54,,17,19,3,,,,,,,,1338,12592,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-7.608
2026-04-19T21:07:49.640960,Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr499_mgl_tools,Orai1WT-MDSnap-Fr499_mgl_tools,Synta-66-OPT-Singlet,success,vina,,10,11.54,,26,27,2,,,,,,,,1338,12592,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-9.136
2026-04-19T21:07:49.644158,gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr499_mgl_tools,Orai1WT-MDSnap-Fr499_mgl_tools,gsk7975a-deprot-OPT,success,vina,,10,11.54,,28,29,2,,,,,,,,1338,12592,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-10.214
2026-04-19T21:08:24.992823,2abp-nh2-OPT__Orai1WT-START-Fr0_mgl_tools,Orai1WT-START-Fr0_mgl_tools,2abp-nh2-OPT,success,vina,,10,11.78,,17,19,3,,,,,,,,1338,12636,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-7.443
2026-04-19T21:08:24.997219,Synta-66-OPT-Singlet__Orai1WT-START-Fr0_mgl_tools,Orai1WT-START-Fr0_mgl_tools,Synta-66-OPT-Singlet,success,vina,,10,11.78,,26,27,2,,,,,,,,1338,12636,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-8.246
2026-04-19T21:08:25.001154,gsk7975a-deprot-OPT__Orai1WT-START-Fr0_mgl_tools,Orai1WT-START-Fr0_mgl_tools,gsk7975a-deprot-OPT,success,vina,,10,11.78,,28,29,2,,,,,,,,1338,12636,6,32,10,3,Intel(R) Core(TM) i9-14900HX,-10.255
