method,depth,n_complexes,near_reference,near_nearest_copy,valid_near_reference,valid_near_nearest_copy,reach4A_reference,reach4A_nearest_copy,gain_valid_near
autodock_mgltools_exh128_gnina,1,303,113,151,111,149,183,241,38
autodock_mgltools_exh128_gnina,5,303,188,204,184,200,248,263,16
autodock_mgltools_exh128_gnina,15,303,201,216,198,213,262,275,15
autodock_mgltools_exh128_gnina,30,303,202,217,199,214,268,280,15
diffdock_smina,1,303,107,137,103,132,172,225,29
diffdock_smina,5,303,148,164,144,160,231,251,16
diffdock_smina,15,303,170,182,167,179,246,260,12
diffdock_smina,30,303,173,186,169,183,258,273,14
equibind_unguided_gnina,1,303,57,59,55,57,137,144,2
equibind_unguided_gnina,5,303,76,79,73,76,146,156,3
equibind_unguided_gnina,15,303,83,86,80,83,150,159,3
equibind_unguided_gnina,30,303,83,86,80,83,151,160,3
autodock_mgltools_exh128,1,303,95,131,94,130,158,217,36
autodock_mgltools_exh128,5,303,154,171,153,170,234,253,17
autodock_mgltools_exh128,15,303,185,198,185,198,254,266,13
autodock_mgltools_exh128,30,303,202,217,202,217,268,280,15
diffdock,1,303,102,132,55,67,171,226,12
diffdock,5,303,135,152,77,92,231,251,15
diffdock,15,303,151,160,94,103,243,259,9
diffdock,30,303,152,161,97,106,255,270,9
unidock2,1,303,52,66,51,65,135,177,14
unidock2,5,303,74,86,73,85,206,238,12
unidock2,15,303,81,95,80,94,227,258,14
unidock2,30,303,81,95,80,94,235,269,14
