id,idx,name,n_records,n_none,heavy_ref,heavy_copy,same_heavy,same_elem_seq,formula_ref,formula_copy,same_formula,smiles_same,charge_ref,charge_copy,n_atoms_all_ref,n_atoms_all_copy,cd_to_ref,is_ref,match_ref_in_copy,match_copy_in_ref
5S8I_2LY,0,5S8I_2LY_A_1501,1,0,13,13,True,True,C8H9NO3S,C8H9NO3S,True,True,0,0,13,13,0.0,True,True,True
5SAK_ZRY,0,5SAK_ZRY_A_404,1,0,18,18,True,True,C14H12N4,C14H12N4,True,True,0,0,18,18,0.0,True,True,True
5SB2_1K2,0,5SB2_1K2_A_1006,1,0,30,30,True,True,C24H20ClN3O2,C24H20ClN3O2,True,True,0,0,30,30,0.0,True,True,True
5SD5_HWI,0,5SD5_HWI_A_202,1,0,29,29,True,True,C20H27N5O4,C20H27N5O4,True,True,0,0,29,29,0.0,True,True,True
5SIS_JSM,0,5SIS_JSM_A_803,1,0,32,32,True,True,C23H25N7O2,C23H25N7O2,True,True,0,0,32,32,0.0,True,True,True
6M2B_EZO,0,6M2B_EZO_A_403,1,0,25,25,True,True,C18H14ClN3O2S,C18H14ClN3O2S,True,True,0,0,25,25,0.0,True,True,True
6M73_FNR,0,6M73_FNR_A_401,1,0,31,31,True,True,C17H23N4O9P,C17H23N4O9P,True,True,0,0,31,31,0.0,True,True,True
6T88_MWQ,0,6T88_MWQ_A_608,1,0,10,10,True,True,C6H8N2O2,C6H8N2O2,True,True,0,0,10,10,0.0,True,True,True
6TW5_9M2,0,6TW5_9M2_CCC_501,3,0,31,31,True,True,C24H28FN5O,C24H28FN5O,True,True,0,0,31,31,0.0,True,True,True
6TW5_9M2,1,6TW5_9M2_BBB_501,3,0,31,31,True,True,C24H28FN5O,C24H28FN5O,True,True,0,0,31,31,66.92197868138418,False,True,True
6TW5_9M2,2,6TW5_9M2_AAA_501,3,0,31,31,True,True,C24H28FN5O,C24H28FN5O,True,True,0,0,31,31,63.90069527670254,False,True,True
6TW7_NZB,0,6TW7_NZB_AAA_1003,1,0,29,29,True,True,C23H23FN4O,C23H23FN4O,True,True,0,0,29,29,0.0,True,True,True
6VS3_R6V,0,6VS3_R6V_B_1201,2,0,36,36,True,True,C28H32N8,C28H32N8,True,True,0,0,36,36,0.0,True,True,True
6VS3_R6V,1,6VS3_R6V_A_1201,2,0,36,36,True,True,C28H32N8,C28H32N8,True,True,0,0,36,36,44.137935946385774,False,True,True
6VTA_AKN,0,6VTA_AKN_A_302,2,0,40,40,True,True,C22H43N5O13,C22H43N5O13,True,True,0,0,40,40,0.0,True,True,True
6VTA_AKN,1,6VTA_AKN_B_302,2,0,40,40,True,True,C22H43N5O13,C22H43N5O13,True,True,0,0,40,40,39.87811542765342,False,True,True
6W59_SZD,0,6W59_SZD_A_602,1,0,32,32,True,True,C20H13F5N2O4S,C20H13F5N2O4S,True,True,0,0,32,32,0.0,True,True,True
6WTN_RXT,0,6WTN_RXT_A_1204,1,0,23,23,True,True,C17H18N6,C17H18N6,True,True,0,0,23,23,0.0,True,True,True
6X8D_ARA,0,6X8D_ARA_A_207,1,0,10,10,True,True,C5H10O5,C5H10O5,True,True,0,0,10,10,0.0,True,True,True
6XAF_GDP,0,6XAF_GDP_B_1602,2,0,28,28,True,True,C10H15N5O11P2,C10H15N5O11P2,True,True,0,0,28,28,0.0,True,True,True
6XAF_GDP,1,6XAF_GDP_A_1602,2,0,28,28,True,True,C10H15N5O11P2,C10H15N5O11P2,True,True,0,0,28,28,36.08591943256216,False,True,True
6XBO_5MC,0,6XBO_5MC_A_401,1,0,22,22,True,True,C10H16N3O8P,C10H16N3O8P,True,True,0,0,22,22,0.0,True,True,True
6XCT_478,0,6XCT_478_A_401,1,0,35,35,True,True,C25H35N3O6S,C25H35N3O6S,True,True,0,0,35,35,0.0,True,True,True
6XG5_TOP,0,6XG5_TOP_A_303,1,0,21,21,True,True,C14H18N4O3,C14H18N4O3,True,True,0,0,21,21,0.0,True,True,True
6XHT_V2V,0,6XHT_V2V_E_301,2,0,34,34,True,True,C14H25N3O15P2,C14H25N3O15P2,True,True,0,0,34,34,0.0,True,True,True
6XHT_V2V,1,6XHT_V2V_B_301,2,0,34,34,True,True,C14H25N3O15P2,C14H25N3O15P2,True,False,0,0,34,34,88.74845395644459,False,True,True
6XM9_V55,0,6XM9_V55_A_501,1,0,11,11,True,True,C8H8O3,C8H8O3,True,True,0,0,11,11,0.0,True,True,True
6XUM_30L,0,6XUM_30L_A_401,1,0,25,25,True,True,C16H13FN2O6,C16H13FN2O6,True,True,0,0,25,25,0.0,True,True,True
6Y7L_QMG,0,6Y7L_QMG_A_301,1,0,25,25,True,True,C20H19N3O2,C20H19N3O2,True,True,0,0,25,25,0.0,True,True,True
6YDY_K73,0,6YDY_K73_A_302,1,0,28,28,True,True,C22H28N4O2,C22H28N4O2,True,True,0,0,28,28,0.0,True,True,True
6YJA_2BA,0,6YJA_2BA_B_201,2,0,44,44,True,True,C20H24N10O12P2,C20H24N10O12P2,True,True,0,0,44,44,0.0,True,True,True
6YJA_2BA,1,6YJA_2BA_A_201,2,0,44,44,True,True,C20H24N10O12P2,C20H24N10O12P2,True,False,0,0,44,44,13.843955877319212,False,True,True
6YMS_OZH,0,6YMS_OZH_E_409,1,0,35,35,True,True,C24H32N3O7P,C24H32N3O7P,True,True,0,0,35,35,0.0,True,True,True
6YQV_8K2,0,6YQV_8K2_H_308,1,0,10,10,True,True,C4H4ClNO2S2,C4H4ClNO2S2,True,True,0,0,10,10,0.0,True,True,True
6YQW_82I,0,6YQW_82I_A_201,1,0,11,11,True,True,C6H8ClN3O,C6H8ClN3O,True,True,0,0,11,11,0.0,True,True,True
6YR2_T1C,0,6YR2_T1C_BBB_1001,1,0,42,42,True,True,C29H41N5O8+2,C29H41N5O8+2,True,True,2,2,42,42,0.0,True,True,True
6YRV_PJ8,0,6YRV_PJ8_AAA_802,1,0,17,17,True,True,C17H36,C17H36,True,True,0,0,17,17,0.0,True,True,True
6YSP_PAL,0,6YSP_PAL_C_401,1,0,16,16,True,True,C6H10NO8P,C6H10NO8P,True,True,0,0,16,16,0.0,True,True,True
6YT6_PKE,0,6YT6_PKE_B_701,2,0,31,31,True,True,C20H21N7O3S,C20H21N7O3S,True,True,0,0,31,31,0.0,True,True,True
6YT6_PKE,1,6YT6_PKE_A_701,2,0,31,31,True,True,C20H21N7O3S,C20H21N7O3S,True,True,0,0,31,31,44.953123383513656,False,True,True
6YYO_Q1K,0,6YYO_Q1K_BBB_323,2,0,19,19,True,True,C10H14N6O2S,C10H14N6O2S,True,True,0,0,19,19,0.0,True,True,True
6YYO_Q1K,1,6YYO_Q1K_AAA_317,2,0,19,19,True,True,C10H14N6O2S,C10H14N6O2S,True,True,0,0,19,19,7.761231064892942,False,True,True
6Z0R_Q4H,0,6Z0R_Q4H_A_301,1,0,9,9,True,True,C5H4N4,C5H4N4,True,True,0,0,9,9,0.0,True,True,True
6Z14_Q4Z,0,6Z14_Q4Z_JJJ_1103,1,0,18,18,True,True,C8H13NO8S,C8H13NO8S,True,True,0,0,18,18,0.0,True,True,True
6Z1C_7EY,0,6Z1C_7EY_A_501,1,0,22,22,True,True,C16H14N2O2S2,C16H14N2O2S2,True,True,0,0,22,22,0.0,True,True,True
6Z2C_Q5E,0,6Z2C_Q5E_B_201,3,0,26,26,True,True,C15H13Cl6NO4,C15H13Cl6NO4,True,True,0,0,26,26,0.0,True,True,True
6Z2C_Q5E,1,6Z2C_Q5E_A_201,3,0,26,26,True,True,C15H13Cl6NO4,C15H13Cl6NO4,True,True,0,0,26,26,45.64751493697765,False,True,True
6Z2C_Q5E,2,6Z2C_Q5E_C_201,3,0,26,26,True,True,C15H13Cl6NO4,C15H13Cl6NO4,True,True,0,0,26,26,45.474875878670325,False,True,True
6Z4N_Q7B,0,6Z4N_Q7B_BBB_402,2,0,20,20,True,True,C18H18O2,C18H18O2,True,True,0,0,20,20,0.0,True,True,True
6Z4N_Q7B,1,6Z4N_Q7B_AAA_402,2,0,20,20,True,True,C18H18O2,C18H18O2,True,True,0,0,20,20,33.74510324673049,False,True,True
6Z5Z_BDF,0,6Z5Z_BDF_A_102,2,0,12,12,True,True,C6H12O6,C6H12O6,True,True,0,0,12,12,0.0,True,True,True
6Z5Z_BDF,1,6Z5Z_BDF_A_103,2,0,12,12,True,True,C6H12O6,C6H12O6,True,True,0,0,12,12,17.853716488684743,False,True,True
6ZAE_ACV,0,6ZAE_ACV_A_403,1,0,24,24,True,True,C14H25N3O6S,C14H25N3O6S,True,True,0,0,24,24,0.0,True,True,True
6ZC3_JOR,0,6ZC3_JOR_B_401,2,0,15,15,True,True,C8H8FNO4S,C8H8FNO4S,True,True,0,0,15,15,0.0,True,True,True
6ZC3_JOR,1,6ZC3_JOR_A_402,2,0,15,15,True,True,C8H8FNO4S,C8H8FNO4S,True,True,0,0,15,15,21.007569629805136,False,True,True
6ZCY_QF8,0,6ZCY_QF8_A_701,1,0,33,33,True,True,C22H26N10O,C22H26N10O,True,True,0,0,33,33,0.0,True,True,True
6ZK5_IMH,0,6ZK5_IMH_A_402,2,0,19,19,True,True,C11H14N4O4,C11H14N4O4,True,True,0,0,19,19,0.0,True,True,True
6ZK5_IMH,1,6ZK5_IMH_B_401,2,0,19,19,True,True,C11H14N4O4,C11H14N4O4,True,True,0,0,19,19,36.60025876923645,False,True,True
6ZPB_3D1,0,6ZPB_3D1_A_201,1,0,18,18,True,True,C10H13N5O3,C10H13N5O3,True,True,0,0,18,18,0.0,True,True,True
6ZR8_QOZ,0,6ZR8_QOZ_A_302,1,0,33,33,True,True,C25H28N4O3S,C25H28N4O3S,True,True,0,0,33,33,0.0,True,True,True
6ZT2_QPK,0,6ZT2_QPK_A_303,1,0,10,10,True,True,C6H3ClF2O,C6H3ClF2O,True,True,0,0,10,10,0.0,True,True,True
6ZX3_QRZ,0,6ZX3_QRZ_A_501,1,0,24,24,True,True,C10H14N3O9PS,C10H14N3O9PS,True,True,0,0,24,24,0.0,True,True,True
6ZXQ_IMO,0,6ZXQ_IMO_A_503,1,0,27,27,True,True,C10H14N4O11P2,C10H14N4O11P2,True,True,0,0,27,27,0.0,True,True,True
7A1P_QW2,0,7A1P_QW2_A_505,1,0,13,13,True,True,C8H12O5,C8H12O5,True,True,0,0,13,13,0.0,True,True,True
7A9E_R4W,0,7A9E_R4W_A_404,2,0,6,6,True,True,C3H8O2S,C3H8O2S,True,True,0,0,6,6,0.0,True,True,True
7A9E_R4W,1,7A9E_R4W_A_405,2,0,6,6,True,True,C3H8O2S,C3H8O2S,True,True,0,0,6,6,4.917980276495622,False,True,True
7A9H_TPP,0,7A9H_TPP_AAA_702,2,0,26,26,True,True,C12H19N4O7P2S+,C12H19N4O7P2S+,True,True,1,1,26,26,0.0,True,True,True
7A9H_TPP,1,7A9H_TPP_BBB_702,2,0,26,26,True,True,C12H19N4O7P2S+,C12H19N4O7P2S+,True,True,1,1,26,26,30.004558236055203,False,True,True
7AA0_R6B,0,7AA0_R6B_BBB_201,2,0,26,26,True,True,C23H27NO2,C23H27NO2,True,True,0,0,26,26,0.0,True,True,True
7AA0_R6B,1,7AA0_R6B_AAA_201,2,0,26,26,True,True,C23H27NO2,C23H27NO2,True,True,0,0,26,26,41.68849785717013,False,True,True
7AFX_R9K,0,7AFX_R9K_A_304,2,0,20,20,True,True,C16H12ClNO2,C16H12ClNO2,True,True,0,0,20,20,0.0,True,True,True
7AFX_R9K,1,7AFX_R9K_B_304,2,0,20,20,True,True,C16H12ClNO2,C16H12ClNO2,True,True,0,0,20,20,14.486735559297003,False,True,True
7AKL_RK5,0,7AKL_RK5_A_501,1,0,19,19,True,True,C15H15N3O,C15H15N3O,True,True,0,0,19,19,0.0,True,True,True
7AMC_73B,0,7AMC_73B_B_201,2,0,31,31,True,True,C25H23ClN2O3,C25H23ClN2O3,True,True,0,0,31,31,0.0,True,True,True
7AMC_73B,1,7AMC_73B_A_201,2,0,31,31,True,True,C25H23ClN2O3,C25H23ClN2O3,True,True,0,0,31,31,31.295586421792322,False,True,True
7AN5_RDH,0,7AN5_RDH_A_301,2,0,15,15,True,True,C10H8O5,C10H8O5,True,True,0,0,15,15,0.0,True,True,True
7AN5_RDH,1,7AN5_RDH_B_301,2,0,15,15,True,True,C10H8O5,C10H8O5,True,True,0,0,15,15,41.01602284690433,False,True,True
7AS1_21G,0,7AS1_21G_A_501,1,0,29,29,True,True,C20H19F2N5O2,C20H19F2N5O2,True,True,0,0,29,29,0.0,True,True,True
7AVI_S2Q,0,7AVI_S2Q_A_1101,2,0,27,27,True,True,C18H20N4O4S,C18H20N4O4S,True,True,0,0,27,27,0.0,True,True,True
7AVI_S2Q,1,7AVI_S2Q_B_1101,2,0,27,27,True,True,C18H20N4O4S,C18H20N4O4S,True,True,0,0,27,27,93.74817542604194,False,True,True
7B0E_C2E,0,7B0E_C2E_A_401,1,0,46,46,True,True,C20H24N10O14P2,C20H24N10O14P2,True,True,0,0,46,46,0.0,True,True,True
7B2C_TP7,0,7B2C_TP7_A_1204,2,0,21,21,True,True,C11H22NO7PS,C11H22NO7PS,True,True,0,0,21,21,0.0,True,True,True
7B2C_TP7,1,7B2C_TP7_D_701,2,0,21,21,True,True,C11H22NO7PS,C11H22NO7PS,True,True,0,0,21,21,30.270324153842232,False,True,True
7B94_ANP,0,7B94_ANP_A_401,2,0,31,31,True,True,C10H17N6O12P3,C10H17N6O12P3,True,True,0,0,31,31,0.0,True,True,True
7B94_ANP,1,7B94_ANP_B_401,2,0,31,31,True,True,C10H17N6O12P3,C10H17N6O12P3,True,False,0,0,31,31,26.168692758760294,False,True,True
7BA0_T5H,0,7BA0_T5H_A_201,1,0,55,55,True,True,C43H55NO11,C43H55NO11,True,True,0,0,55,55,0.0,True,True,True
7BCP_GCO,0,7BCP_GCO_A_401,1,0,13,13,True,True,C6H12O7,C6H12O7,True,True,0,0,13,13,0.0,True,True,True
7BHX_TO5,0,7BHX_TO5_A_402,1,0,21,21,True,True,C15H13ClN4O,C15H13ClN4O,True,True,0,0,21,21,0.0,True,True,True
