convention,tool,depth,n_poses,n_valid_complexes,coverage_pct,inplace_median,inplace_q1,inplace_q3,form_median,form_q1,form_q3,median_r,pct_placement_limited,pct_mixed,pct_form_limited
reference,AutoDock,1,190,190,62.7,1.49,0.758,4.22,0.845,0.426,1.507,0.365,47.9,25.3,26.8
reference,DiffDock,1,164,164,54.1,1.467,0.753,3.068,0.885,0.488,1.427,0.458,40.9,28.7,30.5
reference,EquiBind,1,143,143,47.2,2.977,1.347,5.476,1.12,0.592,2.008,0.214,59.4,23.8,16.8
reference,AutoDock,5,882,256,84.5,3.476,1.791,6.035,1.265,0.704,1.984,0.172,65.1,19.4,15.5
reference,DiffDock,5,790,235,77.6,1.646,0.863,4.0,0.882,0.498,1.469,0.406,44.2,32.5,23.3
reference,EquiBind,5,673,156,51.5,3.624,1.77,6.191,1.26,0.752,2.023,0.155,64.2,20.8,15.0
reference,AutoDock,15,2200,275,90.8,5.043,2.937,7.414,1.445,0.811,2.2,0.094,77.8,13.9,8.3
reference,DiffDock,15,2139,259,85.5,1.929,0.921,4.893,0.918,0.517,1.569,0.363,47.9,30.8,21.3
reference,EquiBind,15,1830,156,51.5,4.065,2.334,6.453,1.342,0.789,2.118,0.133,70.2,18.5,11.3
nearest_follow,AutoDock,1,249,249,82.2,1.376,0.682,3.734,0.824,0.402,1.513,0.368,46.6,25.7,27.7
nearest_follow,DiffDock,1,224,224,73.9,1.532,0.868,3.843,0.89,0.499,1.421,0.458,41.5,29.0,29.5
nearest_follow,EquiBind,1,155,155,51.2,3.239,1.353,5.94,1.148,0.65,2.015,0.208,60.6,22.6,16.8
nearest_follow,AutoDock,5,1147,272,89.8,3.291,1.615,5.926,1.215,0.645,1.962,0.178,63.7,19.6,16.7
nearest_follow,DiffDock,5,1041,256,84.5,1.683,0.866,4.286,0.883,0.503,1.489,0.416,44.5,31.2,24.3
nearest_follow,EquiBind,5,723,167,55.1,3.72,1.818,6.391,1.313,0.775,2.04,0.146,64.7,20.2,15.1
nearest_follow,AutoDock,15,2832,286,94.4,4.922,2.847,7.314,1.416,0.776,2.201,0.097,77.3,13.9,8.8
nearest_follow,DiffDock,15,2801,269,88.8,2.062,0.945,4.935,0.936,0.52,1.603,0.377,47.1,30.5,22.4
nearest_follow,EquiBind,15,1932,169,55.8,4.195,2.365,6.556,1.354,0.808,2.118,0.132,70.5,18.1,11.4
nearest_independent,AutoDock,1,249,249,82.2,1.376,0.682,3.734,0.824,0.391,1.502,0.351,48.2,24.9,26.9
nearest_independent,DiffDock,1,224,224,73.9,1.532,0.868,3.843,0.875,0.493,1.421,0.422,42.4,28.6,29.0
nearest_independent,EquiBind,1,155,155,51.2,3.239,1.353,5.94,1.124,0.639,2.015,0.208,60.6,23.2,16.1
nearest_independent,AutoDock,5,1147,272,89.8,3.291,1.615,5.926,1.203,0.631,1.953,0.172,64.8,19.4,15.8
nearest_independent,DiffDock,5,1041,256,84.5,1.683,0.866,4.286,0.869,0.495,1.489,0.394,45.1,31.7,23.2
nearest_independent,EquiBind,5,723,167,55.1,3.72,1.818,6.391,1.274,0.768,2.032,0.146,65.1,20.3,14.5
nearest_independent,AutoDock,15,2832,286,94.4,4.922,2.847,7.314,1.404,0.765,2.184,0.096,77.8,13.8,8.4
nearest_independent,DiffDock,15,2801,269,88.8,2.062,0.945,4.935,0.932,0.516,1.594,0.369,47.6,30.7,21.6
nearest_independent,EquiBind,15,1933,169,55.8,4.198,2.367,6.564,1.352,0.808,2.118,0.131,70.8,18.1,11.1
