convention,depth,pair,only_first,only_second,p_exact_uncorrected,n_first,n_second
reference,1,AutoDock vs DiffDock,47,46,1.0,159,158
reference,1,AutoDock vs EquiBind,79,21,4.3373666334216375e-09,159,101
reference,1,DiffDock vs EquiBind,76,19,2.9990721379379377e-09,158,101
reference,15,AutoDock vs DiffDock,30,31,1.0,218,219
reference,15,AutoDock vs EquiBind,76,13,5.446803038068455e-12,218,155
reference,15,DiffDock vs EquiBind,78,14,6.162186756126442e-12,219,155
reference,30,AutoDock vs DiffDock,25,26,1.0,225,226
reference,30,AutoDock vs EquiBind,73,12,8.090689460813064e-12,225,164
reference,30,DiffDock vs EquiBind,76,14,1.777795331222257e-11,226,164
nearest_follow,1,AutoDock vs DiffDock,48,47,1.0,159,158
nearest_follow,1,AutoDock vs EquiBind,79,21,4.3373666334216375e-09,159,101
nearest_follow,1,DiffDock vs EquiBind,76,19,2.9990721379379377e-09,158,101
nearest_follow,15,AutoDock vs DiffDock,30,32,0.8990763136528589,217,219
nearest_follow,15,AutoDock vs EquiBind,75,14,3.0109103586376684e-11,217,156
nearest_follow,15,DiffDock vs EquiBind,78,15,1.9393097995260696e-11,219,156
nearest_follow,30,AutoDock vs DiffDock,25,26,1.0,225,226
nearest_follow,30,AutoDock vs EquiBind,73,11,2.2490938201170897e-12,225,163
nearest_follow,30,DiffDock vs EquiBind,78,15,1.9393097995260696e-11,226,163
nearest_independent,1,AutoDock vs DiffDock,47,47,1.0,159,159
nearest_independent,1,AutoDock vs EquiBind,77,21,1.0892545009628191e-08,159,103
nearest_independent,1,DiffDock vs EquiBind,75,19,4.8181440754468005e-09,159,103
nearest_independent,15,AutoDock vs DiffDock,29,31,0.8974218269914307,218,220
nearest_independent,15,AutoDock vs EquiBind,75,13,9.326266045667502e-12,218,156
nearest_independent,15,DiffDock vs EquiBind,79,15,1.1505439371930658e-11,220,156
nearest_independent,30,AutoDock vs DiffDock,23,26,0.7754496546815659,225,228
nearest_independent,30,AutoDock vs EquiBind,73,12,8.090689460813064e-12,225,164
nearest_independent,30,DiffDock vs EquiBind,78,14,6.162186756126442e-12,228,164
