key,expected,actual,ok,source
cohort.benchmark_ids,308,308,True,body_main_short.tex:192
cohort.analysed_complexes,303,303,True,body_main_short.tex:192
determinism.benchmark,'0 (sign)',0,True,"body_appendix_short.tex, ""Orai1 Panels"""
determinism.orai_control,'0 (sign)',0,True,"body_appendix_short.tex, ""Orai1 Panels"""
determinism.orai_experimental,'24 (sign)',24,True,"body_appendix_short.tex, ""Orai1 Panels"""
table_1[autodock_mgltools_exh128].poses,8976,8976,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].valid_complexes,303,303,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].valid_poses,8943,8943,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].valid_pct,99.6,np.float64(99.6),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].near_complexes,202,202,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].near_poses,307,307,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].near_pct,3.4,np.float64(3.4),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].form_complexes,225,225,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].form_poses,2848,2848,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].form_pct,31.7,np.float64(31.7),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].triple_complexes,164,164,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].triple_poses,221,221,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128].triple_pct,2.5,np.float64(2.5),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].poses,8976,8976,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].valid_complexes,301,301,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].valid_poses,8880,8880,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].valid_pct,98.9,np.float64(98.9),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].near_complexes,202,202,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].near_poses,319,319,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].near_pct,3.6,np.float64(3.6),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].form_complexes,227,227,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].form_poses,2836,2836,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].form_pct,31.6,np.float64(31.6),True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].triple_complexes,160,160,True,"body_main_short.tex:261, tab:results-pose-production"
table_1[autodock_mgltools_exh128_gnina].triple_poses,221,221,True,"body_main_short.tex:261, tab:results-pose-production"
