protein,n_copies,autodock_rank,optimized_rank,cnn_affinity,status,rmsd_ref,rmsd_refcopy,rmsd_nearest_copy,nearest_idx,ref_idx,cd_ref,cd_nearest,pose_file
7B2C_TP7,2,1,9,5.0930309296,success,40.41061819903397,40.41061819903397,15.40320810646121,1,0,39.681254037204916,15.004050872020574,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank1_gnina.sdf
7B2C_TP7,2,2,13,4.9714784622,success,15.464531930086558,15.464531930086558,15.464531930086558,0,0,15.068145025936452,15.068145025936452,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank2_gnina.sdf
7B2C_TP7,2,3,7,5.1483864784,success,18.42244390970401,18.42244390970401,18.42244390970401,0,0,17.495803142682718,17.495803142682718,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank3_gnina.sdf
7B2C_TP7,2,4,2,5.2259287834,success,44.79822627221071,44.79822627221071,18.411817686656217,1,0,44.63125196504667,17.49419057526191,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank4_gnina.sdf
7B2C_TP7,2,5,5,5.1497588158,success,19.23078711939344,19.23078711939344,19.23078711939344,0,0,18.279886214312416,18.279886214312416,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank5_gnina.sdf
7B2C_TP7,2,6,24,4.6182966232,success,45.864580199518834,45.864580199518834,18.698362896559384,1,0,45.519949694850524,16.83061017558467,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank6_gnina.sdf
7B2C_TP7,2,7,12,4.9813094139,success,45.853074503176,45.853074503176,18.991314643767332,1,0,45.5955476097964,18.17385266175,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank7_gnina.sdf
7B2C_TP7,2,8,8,5.1199498177,success,46.19590364409258,46.19590364409258,19.2835717838243,1,0,45.953877319363194,18.496704765533522,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank8_gnina.sdf
7B2C_TP7,2,9,10,5.0405306816,success,16.92670320391225,16.92670320391225,16.92670320391225,0,0,15.121000968524324,15.121000968524324,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank9_gnina.sdf
7B2C_TP7,2,10,4,5.1548299789,success,46.125699176210716,46.125699176210716,18.62037522150195,1,0,45.78809853041282,17.2183766952874,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank10_gnina.sdf
7B2C_TP7,2,11,3,5.1722316742,success,17.91274707529064,17.91274707529064,17.91274707529064,0,0,16.337303784233953,16.337303784233953,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank11_gnina.sdf
7B2C_TP7,2,12,16,4.829146862,success,19.257734923908465,19.257734923908465,19.257734923908465,0,0,18.39353438800805,18.39353438800805,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank12_gnina.sdf
7B2C_TP7,2,13,22,4.666326046,success,18.602376730919293,18.602376730919293,18.602376730919293,0,0,16.693358367701727,16.693358367701727,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank13_gnina.sdf
7B2C_TP7,2,14,6,5.1494903564,success,41.87852497811237,41.87852497811237,16.34068901792321,1,0,41.16536473978486,15.990675406424462,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank14_gnina.sdf
7B2C_TP7,2,15,28,4.4862365723,success,38.659785115266374,38.659785115266374,38.659785115266374,0,0,38.01595062829003,38.01595062829003,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank15_gnina.sdf
7B2C_TP7,2,16,15,4.8482532501,success,41.47330137713384,41.47330137713384,15.252402900604906,1,0,40.812946117026016,14.184450276979836,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank16_gnina.sdf
7B2C_TP7,2,17,17,4.8235244751,success,41.60171082587831,41.60171082587831,15.926096578885865,1,0,40.790158669480626,14.336284679939327,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank17_gnina.sdf
7B2C_TP7,2,18,23,4.6512989998,success,38.70817072225007,38.70817072225007,38.70817072225007,0,0,38.45178185462827,38.45178185462827,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank18_gnina.sdf
7B2C_TP7,2,19,14,4.8768429756,success,45.37580679259126,45.37580679259126,17.794127729394326,1,0,45.08977455235951,16.19486510251722,/home/manndo/master_dev/Dockings/vina_results_full_protein_vina_scoring_mgltools_exh128/7B2C_TP7/mgl_tools/docking/optimized_gnina/7B2C_TP7_protein_mgl_tools__7B2C_TP7_ligand_start_conf_vina_vina_out_rank19_gnina.sdf
