convention,tool,depth,t0.25,n0.25,t0.5,n0.5,t0.75,n0.75,t1,n1,t1.25,n1.25,t1.5,n1.5,t1.75,n1.75,t2,n2,t2.25,n2.25,t2.5,n2.5
reference,AutoDock,1,10.2,31,25.7,78,41.6,126,52.5,159,61.1,185,66.7,202,74.6,226,78.9,239,81.5,247,84.8,257
reference,AutoDock,15,17.8,54,35.3,107,55.8,169,71.9,218,81.2,246,87.1,264,91.4,277,93.4,283,96.0,291,97.4,295
reference,AutoDock,30,18.8,57,37.0,112,58.7,178,74.3,225,82.8,251,88.4,268,92.7,281,95.4,289,97.7,296,97.7,296
reference,DiffDock,1,11.9,36,25.1,76,38.6,117,52.1,158,61.7,187,70.0,212,76.2,231,82.5,250,85.8,260,88.1,267
reference,DiffDock,15,21.1,64,39.3,119,57.4,174,72.3,219,80.2,243,87.8,266,94.1,285,95.7,290,96.0,291,96.4,292
reference,DiffDock,30,22.4,68,42.6,129,60.4,183,74.6,226,84.5,256,92.7,281,96.0,291,97.0,294,97.7,296,98.0,297
reference,EquiBind,1,5.6,17,15.5,47,21.8,66,33.3,101,42.9,130,48.5,147,53.1,161,61.4,186,66.3,201,71.0,215
reference,EquiBind,15,15.2,46,27.7,84,40.3,122,51.2,155,62.0,188,71.0,215,75.9,230,79.9,242,82.5,250,85.1,258
reference,EquiBind,30,17.2,52,31.0,94,43.9,133,54.1,164,64.4,195,72.6,220,77.6,235,81.8,248,83.5,253,85.5,259
nearest_follow,AutoDock,1,10.6,32,25.1,76,41.6,126,52.5,159,60.7,184,66.7,202,74.9,227,78.9,239,81.5,247,84.8,257
nearest_follow,AutoDock,15,18.5,56,35.0,106,55.8,169,71.6,217,81.2,246,87.1,264,91.4,277,93.4,283,96.0,291,97.4,295
nearest_follow,AutoDock,30,19.5,59,36.6,111,58.7,178,74.3,225,82.8,251,88.4,268,92.7,281,95.4,289,97.7,296,97.7,296
nearest_follow,DiffDock,1,11.6,35,24.4,74,38.9,118,52.1,158,62.0,188,70.3,213,75.9,230,82.2,249,86.1,261,88.4,268
nearest_follow,DiffDock,15,21.1,64,39.9,121,57.4,174,72.3,219,80.9,245,88.1,267,94.4,286,95.4,289,96.0,291,96.4,292
nearest_follow,DiffDock,30,22.8,69,41.9,127,59.7,181,74.6,226,84.5,256,93.1,282,96.0,291,97.0,294,97.7,296,98.0,297
nearest_follow,EquiBind,1,5.6,17,15.2,46,21.8,66,33.3,101,42.9,130,48.5,147,53.5,162,62.0,188,67.0,203,71.0,215
nearest_follow,EquiBind,15,14.9,45,27.4,83,39.9,121,51.5,156,62.4,189,71.0,215,76.2,231,80.2,243,82.8,251,85.1,258
nearest_follow,EquiBind,30,16.8,51,30.7,93,43.6,132,53.8,163,64.7,196,72.6,220,77.9,236,82.5,250,83.8,254,85.5,259
nearest_independent,AutoDock,1,10.9,33,26.1,79,41.6,126,52.5,159,61.1,185,67.7,205,75.2,228,79.2,240,81.5,247,85.1,258
nearest_independent,AutoDock,15,18.5,56,36.0,109,56.1,170,71.9,218,81.5,247,87.1,264,91.7,278,93.4,283,96.0,291,97.4,295
nearest_independent,AutoDock,30,19.5,59,38.0,115,58.7,178,74.3,225,82.8,251,88.4,268,93.1,282,95.4,289,97.7,296,97.7,296
nearest_independent,DiffDock,1,11.9,36,25.7,78,39.6,120,52.5,159,62.7,190,70.3,213,76.6,232,82.5,250,86.1,261,88.4,268
nearest_independent,DiffDock,15,22.1,67,40.6,123,57.8,175,72.6,220,81.2,246,88.4,268,94.4,286,95.7,290,96.0,291,96.4,292
nearest_independent,DiffDock,30,23.8,72,43.2,131,60.4,183,75.2,228,84.5,256,93.4,283,96.4,292,97.0,294,97.7,296,98.0,297
nearest_independent,EquiBind,1,5.6,17,15.5,47,22.1,67,34.0,103,42.9,130,48.5,147,53.8,163,62.0,188,67.0,203,71.0,215
nearest_independent,EquiBind,15,15.2,46,27.7,84,40.3,122,51.5,156,63.0,191,71.0,215,76.6,232,80.2,243,82.8,251,85.1,258
nearest_independent,EquiBind,30,17.2,52,31.0,94,43.9,133,54.1,164,65.0,197,72.6,220,78.2,237,82.5,250,83.8,254,85.5,259
