convention,gate,depth,a,b,a_complexes,b_complexes,a_poses,b_poses,only_a,only_b,discordant
reference,triple,15,diffdock_smina,diffdock_gnina,133,132,834,828,5,4,9
reference,double,15,diffdock_smina,diffdock_gnina,167,167,1075,1073,3,3,6
reference,triple,15,equibind_unguided_gnina,equibind_unguided_smina,55,46,240,209,17,8,25
reference,double,15,equibind_unguided_gnina,equibind_unguided_smina,80,61,385,331,26,7,33
nearest_follow,triple,15,diffdock_smina,diffdock_gnina,144,143,1031,1022,4,3,7
nearest_follow,double,15,diffdock_smina,diffdock_gnina,179,177,1367,1361,5,3,8
nearest_follow,triple,15,equibind_unguided_gnina,equibind_unguided_smina,57,48,247,211,18,9,27
nearest_follow,double,15,equibind_unguided_gnina,equibind_unguided_smina,83,64,402,337,26,7,33
nearest_independent,triple,15,diffdock_smina,diffdock_gnina,146,144,1039,1026,4,2,6
nearest_independent,double,15,diffdock_smina,diffdock_gnina,179,177,1367,1361,5,3,8
nearest_independent,triple,15,equibind_unguided_gnina,equibind_unguided_smina,57,49,250,213,17,9,26
nearest_independent,double,15,equibind_unguided_gnina,equibind_unguided_smina,83,64,402,337,26,7,33
