convention,method,poses,valid_complexes,valid_poses,valid_pct,near_complexes,near_poses,near_pct,form_complexes,form_poses,form_pct,triple_complexes,triple_poses,triple_pct
reference,autodock_mgltools_exh128,8976,303,8943,99.6,202,307,3.4,225,2848,31.7,164,221,2.5
reference,autodock_mgltools_exh128_gnina,8976,301,8880,98.9,202,319,3.6,227,2836,31.6,160,221,2.5
reference,diffdock,9013,242,2198,24.4,152,1683,18.7,225,4012,44.5,83,722,8.0
reference,diffdock_smina,8993,300,7597,84.5,173,1715,19.1,237,3903,43.4,138,1227,13.6
reference,equibind_unguided_gnina,9088,266,5633,62.0,83,498,5.5,200,2661,29.3,55,282,3.1
reference,unidock2,8605,303,8493,98.7,81,117,1.4,196,2729,31.7,65,85,1.0
nearest_follow,autodock_mgltools_exh128,8976,303,8943,99.6,217,437,4.9,225,2829,31.5,178,324,3.6
nearest_follow,autodock_mgltools_exh128_gnina,8976,301,8880,98.9,217,451,5.0,227,2823,31.5,175,325,3.6
nearest_follow,diffdock,9013,242,2198,24.4,161,2118,23.5,224,4016,44.6,92,869,9.6
nearest_follow,diffdock_smina,8993,300,7597,84.5,186,2169,24.1,236,3887,43.2,148,1516,16.9
nearest_follow,equibind_unguided_gnina,9088,266,5633,62.0,86,515,5.7,199,2661,29.3,57,289,3.2
nearest_follow,unidock2,8605,303,8493,98.7,95,162,1.9,196,2715,31.6,82,125,1.5
nearest_independent,autodock_mgltools_exh128,8976,303,8943,99.6,217,437,4.9,225,2875,32.0,178,327,3.6
nearest_independent,autodock_mgltools_exh128_gnina,8976,301,8880,98.9,217,451,5.0,227,2868,32.0,175,330,3.7
nearest_independent,diffdock,9013,242,2198,24.4,161,2118,23.5,227,4059,45.0,92,874,9.7
nearest_independent,diffdock_smina,8993,300,7597,84.5,186,2169,24.1,238,3935,43.8,150,1531,17.0
nearest_independent,equibind_unguided_gnina,9088,266,5633,62.0,86,515,5.7,200,2706,29.8,57,292,3.2
nearest_independent,unidock2,8605,303,8493,98.7,95,162,1.9,197,2759,32.1,83,126,1.5
