convention,method,poses,valid_complexes,valid_poses,valid_pct,near_complexes,near_poses,near_pct,form_complexes,form_poses,form_pct,triple_complexes,triple_poses,triple_pct
reference,diffdock_gnina,8993,300,7831,87.1,176,1716,19.1,235,3873,43.1,138,1219,13.6
reference,equibind_fpocket_raw,9090,13,27,0.3,0,0,0.0,180,2449,26.9,0,0,0.0
reference,equibind_p2rank_raw,8520,12,47,0.6,0,0,0.0,181,2336,27.4,0,0,0.0
reference,equibind_unguided_raw,9090,35,263,2.9,19,103,1.1,185,2479,27.3,2,21,0.2
reference,equibind_unguided_smina,9090,236,4664,51.3,64,453,5.0,191,2610,28.7,48,249,2.7
nearest_follow,diffdock_gnina,8993,300,7831,87.1,186,2171,24.1,235,3854,42.9,149,1513,16.8
nearest_follow,equibind_fpocket_raw,9090,13,27,0.3,0,0,0.0,179,2441,26.9,0,0,0.0
nearest_follow,equibind_p2rank_raw,8520,12,47,0.6,1,2,0.0,180,2339,27.5,0,0,0.0
nearest_follow,equibind_unguided_raw,9090,35,263,2.9,19,103,1.1,186,2487,27.4,2,21,0.2
nearest_follow,equibind_unguided_smina,9090,236,4664,51.3,67,465,5.1,192,2617,28.8,50,253,2.8
nearest_independent,diffdock_gnina,8993,300,7831,87.1,186,2171,24.1,236,3900,43.4,150,1522,16.9
nearest_independent,equibind_fpocket_raw,9090,13,27,0.3,0,0,0.0,183,2475,27.2,0,0,0.0
nearest_independent,equibind_p2rank_raw,8520,12,47,0.6,1,2,0.0,181,2381,27.9,0,0,0.0
nearest_independent,equibind_unguided_raw,9090,35,263,2.9,19,103,1.1,188,2513,27.6,2,21,0.2
nearest_independent,equibind_unguided_smina,9090,236,4664,51.3,67,465,5.1,195,2640,29.0,51,255,2.8
