convention,method,depth,triple_complexes,triple_poses,double_complexes,kabsch1_valid_complexes
reference,autodock_mgltools_exh128,1,77,77,94,151
reference,autodock_mgltools_exh128,15,152,195,185,219
reference,autodock_mgltools_exh128,30,164,221,202,225
reference,autodock_mgltools_exh128_gnina,1,88,88,111,159
reference,autodock_mgltools_exh128_gnina,15,160,217,198,218
reference,autodock_mgltools_exh128_gnina,30,160,221,199,225
reference,diffdock,1,46,46,55,95
reference,diffdock,15,79,465,94,162
reference,diffdock,30,83,722,97,169
reference,diffdock_smina,1,76,76,103,158
reference,diffdock_smina,15,133,834,167,219
reference,diffdock_smina,30,138,1227,169,226
reference,equibind_unguided_gnina,1,37,37,55,101
reference,equibind_unguided_gnina,15,55,240,80,155
reference,equibind_unguided_gnina,30,55,282,80,164
reference,unidock2,1,46,46,51,127
reference,unidock2,15,65,85,80,185
reference,unidock2,30,65,85,80,196
nearest_follow,autodock_mgltools_exh128,1,106,106,130,151
nearest_follow,autodock_mgltools_exh128,15,166,292,198,219
nearest_follow,autodock_mgltools_exh128,30,178,324,217,225
nearest_follow,autodock_mgltools_exh128_gnina,1,122,122,149,159
nearest_follow,autodock_mgltools_exh128_gnina,15,175,316,213,217
nearest_follow,autodock_mgltools_exh128_gnina,30,175,325,214,225
nearest_follow,diffdock,1,55,55,67,94
nearest_follow,diffdock,15,89,564,103,163
nearest_follow,diffdock,30,92,869,106,170
nearest_follow,diffdock_smina,1,98,98,132,158
nearest_follow,diffdock_smina,15,144,1031,179,219
nearest_follow,diffdock_smina,30,148,1516,183,226
nearest_follow,equibind_unguided_gnina,1,38,38,57,101
nearest_follow,equibind_unguided_gnina,15,57,247,83,156
nearest_follow,equibind_unguided_gnina,30,57,289,83,163
nearest_follow,unidock2,1,60,60,65,127
nearest_follow,unidock2,15,82,125,94,185
nearest_follow,unidock2,30,82,125,94,196
nearest_independent,autodock_mgltools_exh128,1,107,107,130,152
nearest_independent,autodock_mgltools_exh128,15,166,294,198,219
nearest_independent,autodock_mgltools_exh128,30,178,327,217,225
nearest_independent,autodock_mgltools_exh128_gnina,1,122,122,149,159
nearest_independent,autodock_mgltools_exh128_gnina,15,175,320,213,218
nearest_independent,autodock_mgltools_exh128_gnina,30,175,330,214,225
nearest_independent,diffdock,1,56,56,67,95
nearest_independent,diffdock,15,89,568,103,163
nearest_independent,diffdock,30,92,874,106,170
nearest_independent,diffdock_smina,1,99,99,132,159
nearest_independent,diffdock_smina,15,146,1039,179,220
nearest_independent,diffdock_smina,30,150,1531,183,228
nearest_independent,equibind_unguided_gnina,1,39,39,57,103
nearest_independent,equibind_unguided_gnina,15,57,250,83,156
nearest_independent,equibind_unguided_gnina,30,57,292,83,164
nearest_independent,unidock2,1,60,60,65,128
nearest_independent,unidock2,15,83,126,94,185
nearest_independent,unidock2,30,83,126,94,197
