image,source_path,md5,copied_at
image3,/home/manndo/master_dev/posebusters_results/benchmark_matched_equibind/dock/pose_comparison_report_nearest/18_topn_within_thresholds_pbvalid_depths.png,2b2bce3edb26ac26a36ee0dbf845a205,2026-09-08T12:29:32
image4,/home/manndo/master_dev/posebusters_results/benchmark_matched_equibind/dock/pose_comparison_report_nearest/18_topn_within_thresholds_kabsch_pbvalid_depths.png,8747859889295f2dc9569852563b8aff,2026-09-08T12:29:32
image5,/home/manndo/master_dev/posebusters_results/benchmark_matched_equibind/dock/pose_comparison_report_nearest/20d_form_vs_placement_by_family__depth_filmstrip_pbvalid__rank1_top5_top15__thesis.png,29dbc85e43ad068318fdf8e49f6025c2,2026-09-08T12:29:32
image6,/home/manndo/master_dev/posebusters_results/cluster_crystal_pocket_matched_equibind/autodock_mgltools_exh128_gnina__diffdock_smina_allposes_nearest/topN_crystal_cluster_matrix.png,cd9a8675f49614e6e3892bb827f13bf3,2026-09-08T12:29:32
image7,/home/manndo/master_dev/posebusters_results/cluster_crystal_pocket_matched_equibind/autodock_mgltools_exh128_gnina__diffdock_smina_allposes_nearest/crystal_cluster_homogeneity.png,24f2dc054bb83faf49c1d3a781921eb4,2026-09-08T12:29:32
image8,/home/manndo/master_dev/posebusters_results/cluster_crystal_pocket_matched_equibind/autodock_mgltools_exh128_gnina__diffdock_smina_allposes_nearest/cluster_quality_metrics.png,3fd17d2b9cc4a9f137a9c333f4d76bab,2026-09-08T12:29:32
image9,/home/manndo/master_dev/pandamap_results/benchmark_matched_equibind_nearest/report/05_fingerprint_similarity_top5.png,b48540d69ced8a60897233f656efeab7,2026-09-08T12:29:32
image11,/home/manndo/master_dev/pandamap_results/benchmark_matched_equibind_nearest/report/10b_contact_decomposition_by_rank.png,e1bfa7f14a641788b6953e57d0cdb17a,2026-09-08T12:29:32
image24,/home/manndo/master_dev/posebusters_results/benchmark_matched_equibind/docking_effort_gnina_v2_charged_nearest/panels/effort_by_quality_near2.png,815ec4eff31815a09c0e11f35dec225c,2026-09-08T12:29:32
image25,/home/manndo/master_dev/posebusters_results/benchmark_matched_equibind/docking_effort_gnina_v2_nearest/panels/resource_per_near_native_valid_pose.png,2b68eac823ed450b1ffa10fb4bbd6b1a,2026-09-08T12:29:32
image44,/home/manndo/master_dev/posebusters_results/autodock_exhaustiveness_returns_nearest/figures/exh_raw_vs_rescored.png,9536a0cd8b8e205b3c075cd49eeaca87,2026-09-08T12:29:32
image45,/home/manndo/master_dev/posebusters_results/autodock_exhaustiveness_returns_nearest/figures/exh_depth_sweep.png,66dddac3b5a207abfbad81f41dbfab10,2026-09-08T12:29:32
image46,/home/manndo/master_dev/posebusters_results/autodock_exhaustiveness_returns_nearest/figures/exh_yield_vs_cost.png,625460b4e6061b3a843e48b7b8598bc3,2026-09-08T12:29:32
image47,/home/manndo/master_dev/posebusters_results/autodock_exhaustiveness_returns_nearest/figures/exh_marginal_return.png,4990faceab20c53222597521a5307e82,2026-09-08T12:29:32
