,value
tool,gnina
n_complexes,423
n_poses,12609
spearman_rho_mean,0.3908001744185151
spearman_rho_median,0.4266009852216748
pct_complexes_rho_below_0.2,26.004728132387704
pct_complexes_rho_at_or_below_0,10.401891252955082
pct_complexes_rho_at_or_above_0.7,15.602836879432624
dd_top1_stays_aff_top1_pct,13.711583924349883
dd_top1_in_aff_top3_pct,30.73286052009456
dd_top1_median_aff_rank,6.0
aff_top1_was_dd_top1_pct,13.711583924349883
aff_top1_was_dd_top5_pct,38.77068557919622
aff_top1_from_dd_bottom_half_pct,27.18676122931442
aff_top1_median_dd_rank,8.0
pose_median_abs_rank_move,6.0
pose_pct_exact_same_rank,6.3922594971845506
pose_pct_move_ge_5,57.88722341184867
