key,line,col,old,new,status
table_1[autodock_mgltools_exh128].form_poses,79,83,2848,2829,new value not printed
table_1[autodock_mgltools_exh128_gnina].form_poses,80,83,2836,2823,new value not printed
table_1[diffdock].near_poses,81,66,1683,2118,new value not printed
table_1[diffdock_smina].near_poses,82,66,1715,2169,new value not printed
table_1[diffdock_smina].form_poses,82,83,3903,3887,new value not printed
table_1[diffdock_smina].triple_poses,82,100,1227,1516,new value not printed
table_1[diffdock_gnina].near_poses,83,66,1716,2171,new value not printed
table_1[diffdock_gnina].form_poses,83,83,3873,3854,new value not printed
table_1[diffdock_gnina].triple_poses,83,100,1219,1513,new value not printed
table_1[equibind_unguided_raw].form_poses,84,83,2479,2487,new value not printed
table_1[equibind_unguided_smina].form_poses,85,83,2610,2617,new value not printed
table_1[equibind_fpocket_raw].form_poses,87,83,2449,2441,new value not printed
table_1[equibind_p2rank_raw].form_poses,88,83,2336,2339,new value not printed
table_4[EquiBind.precision].k4,170,40,0.476,0.507,new value not printed
table_4[EquiBind.f1].k1,172,19,0.471,0.498,new value not printed
table_27[AutoDock/5].pct_form_limited,390,98,15.5,16.6,new value not printed
table_24[near_native/DiffDock (raw)].poses,686,26,1683,2118,new value not printed
table_24[near_native/DiffDock + smina].poses,687,26,1715,2169,new value not printed
table_24[near_native/DiffDock + gnina].poses,688,26,1716,2171,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k5.p_holm,719,100,0.0001176,0.0001209,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k10.p_holm,719,133,0.0002199,0.0000647,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k15.base_wins,719,158,99,102,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (raw)].k15.p_holm,719,166,0.0002897,0.0000384,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k1.p_holm,720,75,0.7093,0.2944,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k5.p_holm,720,105,0.00594,0.00418,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k10.p_holm,720,136,0.007955,0.004180,new value not printed
table_21[AutoDock (gnina-opt) -> DiffDock (gnina-opt)].k15.p_holm,720,168,0.02869,0.00711,new value not printed
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k1.p_holm,721,75,1.958e-07,2.513e-13,new value not printed
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k5.p_holm,721,108,3.564e-11,1.327e-13,new value not printed
table_21[DiffDock (gnina-opt) -> EquiBind (gnina-opt)].k10.p_holm,721,141,5.284e-12,5.256e-14,new value not printed
table_21[AutoDock (gnina-opt) -> EquiBind (gnina-opt)].k1.p_holm,722,75,4.818e-08,6.388e-16,new value not printed
table_6[autodock].cpu_core_s_per_near2,865,54,1752.8,1233.3,new value not printed
table_6[autodock].gpu_s_per_near2,865,79,118.9,83.7,new value not printed
table_6[diffdock].poses_near2,866,99,1622,2068,new value not printed
prose.refiners.equibind_selection_top15.mcnemar_p,1012,65,0.1078,0.1221,new value not printed
prose.refiners.diffdock_double_top15.gnina,1014,51,167,177,new value not printed
prose[h9].mcnemar_p.k1,1032,17,0.5085,0.1587,new value not printed
prose[h9].n_needed,1040,17,4200,1100,new value not printed
table_1[autodock_mgltools_exh128].near_complexes,79,61,202,217,old value still printed
table_1[autodock_mgltools_exh128].triple_complexes,79,95,164,178,old value still printed
table_1[autodock_mgltools_exh128].triple_pct,79,107,2.5,3.6,old value still printed
table_1[autodock_mgltools_exh128_gnina].near_complexes,80,61,202,217,old value still printed
table_1[autodock_mgltools_exh128_gnina].near_pct,80,73,3.6,5.0,old value still printed
table_1[autodock_mgltools_exh128_gnina].form_pct,80,89,31.6,31.5,old value still printed
table_1[autodock_mgltools_exh128_gnina].triple_complexes,80,95,160,175,old value still printed
table_1[autodock_mgltools_exh128_gnina].triple_pct,80,107,2.5,3.6,old value still printed
table_1[diffdock].near_complexes,81,61,152,161,old value still printed
table_1[diffdock].near_pct,81,72,18.7,23.5,old value still printed
table_1[diffdock].form_complexes,81,78,225,224,old value still printed
table_1[diffdock].form_pct,81,89,44.5,44.6,old value still printed
table_1[diffdock].triple_complexes,81,96,83,92,old value still printed
table_1[diffdock].triple_poses,81,101,722,869,old value still printed
table_1[diffdock_smina].near_complexes,82,61,173,186,old value still printed
table_1[diffdock_smina].near_pct,82,72,19.1,24.1,old value still printed
table_1[diffdock_smina].form_complexes,82,78,237,236,old value still printed
table_1[diffdock_smina].form_pct,82,89,43.4,43.2,old value still printed
table_1[diffdock_smina].triple_complexes,82,95,138,148,old value still printed
table_1[diffdock_gnina].near_pct,83,72,19.1,24.1,old value still printed
table_1[diffdock_gnina].triple_complexes,83,95,138,149,old value still printed
table_1[equibind_unguided_raw].form_complexes,84,78,185,186,old value still printed
table_1[equibind_unguided_smina].near_complexes,85,62,64,67,old value still printed
table_1[equibind_unguided_smina].near_pct,85,73,5.0,5.1,old value still printed
table_1[equibind_unguided_smina].form_complexes,85,78,191,192,old value still printed
table_1[equibind_unguided_smina].form_pct,85,89,28.7,28.8,old value still printed
table_1[equibind_unguided_smina].triple_complexes,85,96,48,50,old value still printed
table_1[equibind_unguided_smina].triple_poses,85,101,249,253,old value still printed
table_1[equibind_unguided_smina].triple_pct,85,107,2.7,2.8,old value still printed
table_1[equibind_unguided_gnina].near_complexes,86,62,83,86,old value still printed
table_1[equibind_unguided_gnina].near_pct,86,73,5.5,5.7,old value still printed
table_1[equibind_unguided_gnina].form_complexes,86,78,200,199,old value still printed
table_1[equibind_unguided_gnina].triple_complexes,86,96,55,57,old value still printed
table_1[equibind_unguided_gnina].triple_poses,86,101,282,289,old value still printed
table_1[equibind_fpocket_raw].form_complexes,87,78,180,179,old value still printed
table_1[equibind_p2rank_raw].near_complexes,88,63,0,1,old value still printed
table_1[equibind_p2rank_raw].near_poses,88,69,0,2,old value still printed
table_1[equibind_p2rank_raw].form_complexes,88,78,181,180,old value still printed
table_1[equibind_p2rank_raw].form_pct,88,89,27.4,27.5,old value still printed
table_2[AutoDock].rank1,105,16,111,149,old value still printed
table_2[AutoDock].top15,105,21,198,213,old value still printed
table_2[AutoDock].top30,105,26,199,214,old value still printed
table_2[DiffDock].rank1,106,16,103,132,old value still printed
table_2[DiffDock].top15,106,21,167,179,old value still printed
table_2[DiffDock].top30,106,26,169,183,old value still printed
table_2[EquiBind].rank1,107,16,55,57,old value still printed
table_2[EquiBind].top15,107,20,80,83,old value still printed
table_2[EquiBind].top30,107,24,80,83,old value still printed
table_4[AutoDock.precision].k4,160,40,0.497,0.615,old value still printed
table_4[AutoDock.recall].k1,161,19,0.572,0.741,old value still printed
table_4[AutoDock.recall].k2,161,26,0.548,0.695,old value still printed
table_4[AutoDock.f1].k2,162,26,0.546,0.689,old value still printed
table_4[DiffDock.precision].k3,165,33,0.520,0.658,old value still printed
table_4[DiffDock.precision].k4,165,40,0.497,0.645,old value still printed
table_4[DiffDock.f1].k3,167,33,0.503,0.639,old value still printed
table_4[EquiBind.precision].k4,170,40,0.476,0.507,old value still printed
table_4[EquiBind.recall].k1,171,19,0.459,0.486,old value still printed
table_4[EquiBind.f1].k3,172,33,0.463,0.490,old value still printed
table_20[DiffDock/near-native].1-10/gnina,249,49,0.7,0.6,old value still printed
table_20[DiffDock/near-native].11-20/smina,249,54,0.1,0.4,old value still printed
table_20[DiffDock/near-native].11-20/gnina,249,59,0.1,0.3,old value still printed
table_20[DiffDock/near-native].21-30/smina,249,64,0.5,0.8,old value still printed
table_20[DiffDock/near-native].21-30/gnina,249,69,0.4,1.0,old value still printed
table_20[DiffDock/near-native and PB-valid].1-10/smina,251,44,12.9,16.5,old value still printed
table_20[DiffDock/near-native and PB-valid].11-20/smina,251,56,7.7,10.5,old value still printed
table_20[DiffDock/near-native and PB-valid].11-20/gnina,251,61,7.6,10.3,old value still printed
table_20[DiffDock/near-native and PB-valid].21-30/smina,251,66,5.2,6.5,old value still printed
table_20[DiffDock/near-native and PB-valid].21-30/gnina,251,71,5.2,6.8,old value still printed
table_20[EquiBind/near-native].1-10/smina,252,44,4.4,4.5,old value still printed
table_20[EquiBind/near-native].1-10/gnina,252,49,4.6,4.7,old value still printed
table_20[EquiBind/near-native].11-20/smina,252,54,3.5,3.6,old value still printed
