key,expected,actual,ok,source,line,col,reason
table_3[AutoDock reach].top1,"[59, 53, 64]","[78, 73, 82]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[AutoDock reach].top5,"[79, 74, 83]","[86, 81, 89]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[AutoDock reach].top10,"[81, 76, 85]","[88, 84, 91]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[AutoDock reach].top15,"[83, 79, 87]","[90, 86, 93]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[DiffDock reach].top1,"[54, 49, 60]","[73, 68, 78]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[DiffDock reach].top5,"[76, 70, 80]","[83, 78, 86]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[DiffDock reach].top10,"[79, 74, 83]","[85, 80, 88]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[DiffDock reach].top15,"[81, 76, 85]","[86, 82, 90]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[EquiBind reach].top1,"[43, 37, 49]","[46, 40, 51]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[EquiBind reach].top5,"[46, 40, 51]","[49, 43, 54]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[EquiBind reach].top10,"[47, 41, 52]","[50, 45, 56]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[EquiBind reach].top15,"[47, 42, 53]","[51, 46, 57]",False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[all three].top1,89/42,103/79,False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[all three].top5,114/82,125/105,False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[all three].top10,121/90,132/113,False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_3[all three].top15,125/96,137/120,False,"body_main_short.tex, tab:results-cluster-recovery",,,"no traced position (expected value is derived, not a yaml scalar)"
table_22[DiffDock (raw)].k1,"[15.5, 11.9, 20.0]","[21.5, np.float64(17.2), np.float64(26.4)]",False,"body_appendix_short.tex, tab:appendix-accurate-invalid",,,"no traced position (expected value is derived, not a yaml scalar)"
table_22[DiffDock (raw)].k5,"[19.1, 15.1, 23.9]","[19.8, np.float64(15.7), np.float64(24.7)]",False,"body_appendix_short.tex, tab:appendix-accurate-invalid",,,"no traced position (expected value is derived, not a yaml scalar)"
prose[h9].equivalent_within_10pp.k1,True,False,False,"body_appendix_short.tex, 'Resolution of the Two-Pipeline Contrast'",,,"no traced position (expected value is derived, not a yaml scalar)"
