key,line,col,old,new
table_1[autodock_mgltools_exh128].near_complexes,79,61,202,217
table_1[autodock_mgltools_exh128].near_poses,79,67,307,437
table_1[autodock_mgltools_exh128].near_pct,79,73,3.4,4.9
table_1[autodock_mgltools_exh128].form_poses,79,83,2848,2829
table_1[autodock_mgltools_exh128].form_pct,79,89,31.7,31.5
table_1[autodock_mgltools_exh128].triple_complexes,79,95,164,178
table_1[autodock_mgltools_exh128].triple_poses,79,101,221,324
table_1[autodock_mgltools_exh128].triple_pct,79,107,2.5,3.6
table_1[autodock_mgltools_exh128_gnina].near_complexes,80,61,202,217
table_1[autodock_mgltools_exh128_gnina].near_poses,80,67,319,451
table_1[autodock_mgltools_exh128_gnina].near_pct,80,73,3.6,5.0
table_1[autodock_mgltools_exh128_gnina].form_poses,80,83,2836,2823
table_1[autodock_mgltools_exh128_gnina].form_pct,80,89,31.6,31.5
table_1[autodock_mgltools_exh128_gnina].triple_complexes,80,95,160,175
table_1[autodock_mgltools_exh128_gnina].triple_poses,80,101,221,325
table_1[autodock_mgltools_exh128_gnina].triple_pct,80,107,2.5,3.6
table_1[diffdock].near_complexes,81,61,152,161
table_1[diffdock].near_poses,81,66,1683,2118
table_1[diffdock].near_pct,81,72,18.7,23.5
table_1[diffdock].form_complexes,81,78,225,224
table_1[diffdock].form_poses,81,83,4012,4016
table_1[diffdock].form_pct,81,89,44.5,44.6
table_1[diffdock].triple_complexes,81,96,83,92
table_1[diffdock].triple_poses,81,101,722,869
table_1[diffdock].triple_pct,81,107,8.0,9.6
table_1[diffdock_smina].near_complexes,82,61,173,186
table_1[diffdock_smina].near_poses,82,66,1715,2169
table_1[diffdock_smina].near_pct,82,72,19.1,24.1
table_1[diffdock_smina].form_complexes,82,78,237,236
table_1[diffdock_smina].form_poses,82,83,3903,3887
table_1[diffdock_smina].form_pct,82,89,43.4,43.2
table_1[diffdock_smina].triple_complexes,82,95,138,148
table_1[diffdock_smina].triple_poses,82,100,1227,1516
table_1[diffdock_smina].triple_pct,82,106,13.6,16.9
table_1[diffdock_gnina].near_complexes,83,61,176,186
table_1[diffdock_gnina].near_poses,83,66,1716,2171
table_1[diffdock_gnina].near_pct,83,72,19.1,24.1
table_1[diffdock_gnina].form_poses,83,83,3873,3854
table_1[diffdock_gnina].form_pct,83,89,43.1,42.9
table_1[diffdock_gnina].triple_complexes,83,95,138,149
table_1[diffdock_gnina].triple_poses,83,100,1219,1513
table_1[diffdock_gnina].triple_pct,83,106,13.6,16.8
table_1[equibind_unguided_raw].form_complexes,84,78,185,186
table_1[equibind_unguided_raw].form_poses,84,83,2479,2487
table_1[equibind_unguided_raw].form_pct,84,89,27.3,27.4
table_1[equibind_unguided_smina].near_complexes,85,62,64,67
table_1[equibind_unguided_smina].near_poses,85,67,453,465
table_1[equibind_unguided_smina].near_pct,85,73,5.0,5.1
table_1[equibind_unguided_smina].form_complexes,85,78,191,192
table_1[equibind_unguided_smina].form_poses,85,83,2610,2617
table_1[equibind_unguided_smina].form_pct,85,89,28.7,28.8
table_1[equibind_unguided_smina].triple_complexes,85,96,48,50
table_1[equibind_unguided_smina].triple_poses,85,101,249,253
table_1[equibind_unguided_smina].triple_pct,85,107,2.7,2.8
table_1[equibind_unguided_gnina].near_complexes,86,62,83,86
table_1[equibind_unguided_gnina].near_poses,86,67,498,515
table_1[equibind_unguided_gnina].near_pct,86,73,5.5,5.7
table_1[equibind_unguided_gnina].form_complexes,86,78,200,199
table_1[equibind_unguided_gnina].triple_complexes,86,96,55,57
table_1[equibind_unguided_gnina].triple_poses,86,101,282,289
table_1[equibind_unguided_gnina].triple_pct,86,107,3.1,3.2
table_1[equibind_fpocket_raw].form_complexes,87,78,180,179
table_1[equibind_fpocket_raw].form_poses,87,83,2449,2441
table_1[equibind_p2rank_raw].near_complexes,88,63,0,1
table_1[equibind_p2rank_raw].near_poses,88,69,0,2
table_1[equibind_p2rank_raw].form_complexes,88,78,181,180
table_1[equibind_p2rank_raw].form_poses,88,83,2336,2339
table_1[equibind_p2rank_raw].form_pct,88,89,27.4,27.5
table_2[AutoDock].rank1,105,16,111,149
table_2[AutoDock].top15,105,21,198,213
table_2[AutoDock].top30,105,26,199,214
table_2[DiffDock].rank1,106,16,103,132
table_2[DiffDock].top15,106,21,167,179
table_2[DiffDock].top30,106,26,169,183
table_2[EquiBind].rank1,107,16,55,57
table_2[EquiBind].top15,107,20,80,83
table_2[EquiBind].top30,107,24,80,83
table_3[AutoDock+DiffDock phi].top1,130,25,+0.33,0.24
table_3[AutoDock+DiffDock phi].top5,130,32,+0.23,0.21
table_3[AutoDock+DiffDock phi].top10,130,39,+0.24,0.21
table_3[AutoDock+DiffDock phi].top15,130,46,+0.23,0.21
table_3[AutoDock+EquiBind phi].top1,131,25,+0.45,0.19
table_3[AutoDock+EquiBind phi].top5,131,32,+0.27,0.15
table_3[AutoDock+EquiBind phi].top10,131,39,+0.29,0.15
table_3[AutoDock+EquiBind phi].top15,131,46,+0.28,0.13
table_3[DiffDock+EquiBind phi].top1,132,25,+0.42,0.21
table_3[DiffDock+EquiBind phi].top5,132,32,+0.30,0.22
