base_protein,ligand_name,meeko,mgl_tools
Orai1WT-MDSnap-Fr300_cleaned,007_ideal,-7.183,-7.154
Orai1WT-MDSnap-Fr300_cleaned,010_ideal,-5.488,-5.707
Orai1WT-MDSnap-Fr300_cleaned,08D_ideal,-7.512,-7.045
Orai1WT-MDSnap-Fr300_cleaned,0A9_ideal,-6.507,-6.12
Orai1WT-MDSnap-Fr300_cleaned,13X_ideal,-5.683,-5.637
Orai1WT-MDSnap-Fr300_cleaned,144_ideal,-4.144,-4.096
Orai1WT-MDSnap-Fr300_cleaned,150_ideal,-6.161,-6.145
Orai1WT-MDSnap-Fr300_cleaned,152_ideal,-4.872,-5.41
Orai1WT-MDSnap-Fr300_cleaned,171_ideal,-6.427,-6.369
Orai1WT-MDSnap-Fr300_cleaned,173_ideal,-6.445,-6.391
Orai1WT-MDSnap-Fr300_cleaned,174_ideal,-6.172,-6.167
Orai1WT-MDSnap-Fr300_cleaned,178_ideal,-8.288,-8.302
Orai1WT-MDSnap-Fr300_cleaned,1AL_ideal,-6.19,-6.559
Orai1WT-MDSnap-Fr300_cleaned,1BN_ideal,-6.404,-6.211
Orai1WT-MDSnap-Fr300_cleaned,1CM_ideal,-7.839,-6.951
Orai1WT-MDSnap-Fr300_cleaned,1CY_ideal,-7.346,-7.531
Orai1WT-MDSnap-Fr300_cleaned,1K5_ideal,-7.419,-7.364
Orai1WT-MDSnap-Fr300_cleaned,1OH_ideal,-7.489,-7.751
Orai1WT-MDSnap-Fr300_cleaned,1PC_ideal,-7.667,-7.587
Orai1WT-MDSnap-Fr300_cleaned,1WE_ideal,-6.075,-6.075
Orai1WT-MDSnap-Fr300_cleaned,201_ideal,-9.353,-9.367
Orai1WT-MDSnap-Fr300_cleaned,205_ideal,-8.044,-8.315
Orai1WT-MDSnap-Fr300_cleaned,210_ideal,-5.659,-5.67
Orai1WT-MDSnap-Fr300_cleaned,21B_ideal,-6.829,-6.88
Orai1WT-MDSnap-Fr300_cleaned,221_ideal,-7.844,-7.901
Orai1WT-MDSnap-Fr300_cleaned,22F_ideal,-7.59,-7.593
Orai1WT-MDSnap-Fr300_cleaned,231_ideal,-6.444,-6.444
Orai1WT-MDSnap-Fr300_cleaned,23F_ideal,-6.579,-6.542
Orai1WT-MDSnap-Fr300_cleaned,251_ideal,-8.876,-8.889
Orai1WT-MDSnap-Fr300_cleaned,256_ideal,-7.077,-6.534
Orai1WT-MDSnap-Fr300_cleaned,268_ideal,-5.616,-5.652
Orai1WT-MDSnap-Fr300_cleaned,269_ideal,-6.045,-6.042
Orai1WT-MDSnap-Fr300_cleaned,26C_ideal,-7.571,-7.732
Orai1WT-MDSnap-Fr300_cleaned,270_ideal,-6.135,-6.623
Orai1WT-MDSnap-Fr300_cleaned,283_ideal,-7.697,-7.624
Orai1WT-MDSnap-Fr300_cleaned,299_ideal,-6.686,-6.836
Orai1WT-MDSnap-Fr300_cleaned,2C7_ideal,-7.56,-7.769
Orai1WT-MDSnap-Fr300_cleaned,2H3_ideal,-5.971,-5.97
Orai1WT-MDSnap-Fr300_cleaned,2HA_ideal,-4.432,-4.471
Orai1WT-MDSnap-Fr300_cleaned,2HP_ideal,-4.02,-3.976
Orai1WT-MDSnap-Fr300_cleaned,2OH_ideal,-7.71,-7.688
Orai1WT-MDSnap-Fr300_cleaned,328_ideal,-8.187,-8.332
Orai1WT-MDSnap-Fr300_cleaned,36M_ideal,-6.181,-6.19
Orai1WT-MDSnap-Fr300_cleaned,3FG_ideal,-6.4,-6.027
Orai1WT-MDSnap-Fr300_cleaned,3G3_ideal,-8.354,-8.531
Orai1WT-MDSnap-Fr300_cleaned,3HG_ideal,-5.39,-4.958
Orai1WT-MDSnap-Fr300_cleaned,3IM_ideal,-7.062,-7.062
Orai1WT-MDSnap-Fr300_cleaned,3MI_ideal,-8.662,-8.587
Orai1WT-MDSnap-Fr300_cleaned,3PO_ideal,-6.169,-6.178
Orai1WT-MDSnap-Fr300_cleaned,3RL_ideal,-8.33,-8.337
Orai1WT-MDSnap-Fr300_cleaned,3SY_ideal,-4.257,-4.289
Orai1WT-MDSnap-Fr300_cleaned,416_ideal,-8.598,-8.587
