base_protein,ligand_name,rmsd,meeko_affinity,mgl_affinity,n_atoms_meeko,n_atoms_mgl
Orai1WT-MDSnap-Fr300_cleaned,007_ideal,42.97731543053131,-7.183,-7.154,13,13
Orai1WT-MDSnap-Fr300_cleaned,010_ideal,15.31251639182796,-5.488,-5.707,8,8
Orai1WT-MDSnap-Fr300_cleaned,08D_ideal,16.708817686197555,-7.512,-7.045,17,17
Orai1WT-MDSnap-Fr300_cleaned,0A9_ideal,17.070480769219934,-6.507,-6.12,13,13
Orai1WT-MDSnap-Fr300_cleaned,13X_ideal,13.459361195011367,-5.683,-5.637,9,9
Orai1WT-MDSnap-Fr300_cleaned,144_ideal,39.23982273469135,-4.144,-4.096,8,8
Orai1WT-MDSnap-Fr300_cleaned,150_ideal,0.03830665738484613,-6.161,-6.145,10,10
Orai1WT-MDSnap-Fr300_cleaned,152_ideal,28.45861400669081,-4.872,-5.41,11,11
Orai1WT-MDSnap-Fr300_cleaned,171_ideal,55.02157007798082,-6.427,-6.369,13,13
Orai1WT-MDSnap-Fr300_cleaned,173_ideal,38.07173464061567,-6.445,-6.391,11,11
Orai1WT-MDSnap-Fr300_cleaned,174_ideal,0.02917533204609678,-6.172,-6.167,10,10
Orai1WT-MDSnap-Fr300_cleaned,178_ideal,0.06864609030589967,-8.288,-8.302,21,21
Orai1WT-MDSnap-Fr300_cleaned,1AL_ideal,21.602081423634466,-6.19,-6.559,12,12
Orai1WT-MDSnap-Fr300_cleaned,1BN_ideal,1.8219218790423848,-6.404,-6.211,12,12
Orai1WT-MDSnap-Fr300_cleaned,1CM_ideal,34.20831880551864,-7.839,-6.951,18,18
Orai1WT-MDSnap-Fr300_cleaned,1CY_ideal,3.228168484559919,-7.346,-7.531,17,17
Orai1WT-MDSnap-Fr300_cleaned,1K5_ideal,29.42906319663572,-7.419,-7.364,19,19
Orai1WT-MDSnap-Fr300_cleaned,1OH_ideal,32.21528815834184,-7.489,-7.751,16,16
Orai1WT-MDSnap-Fr300_cleaned,1PC_ideal,29.249605851095577,-7.667,-7.587,18,18
Orai1WT-MDSnap-Fr300_cleaned,1WE_ideal,1.5150552135153361,-6.075,-6.075,10,10
Orai1WT-MDSnap-Fr300_cleaned,201_ideal,0.9833614755859955,-9.353,-9.367,24,24
Orai1WT-MDSnap-Fr300_cleaned,205_ideal,29.50478719038658,-8.044,-8.315,20,20
Orai1WT-MDSnap-Fr300_cleaned,210_ideal,0.05955863303695616,-5.659,-5.67,13,13
Orai1WT-MDSnap-Fr300_cleaned,21B_ideal,39.21107004579655,-6.829,-6.88,22,22
Orai1WT-MDSnap-Fr300_cleaned,221_ideal,3.701070297606638,-7.844,-7.901,23,23
Orai1WT-MDSnap-Fr300_cleaned,22F_ideal,1.2487156334944052,-7.59,-7.593,15,15
Orai1WT-MDSnap-Fr300_cleaned,231_ideal,1.4525828406982197,-6.444,-6.444,11,11
Orai1WT-MDSnap-Fr300_cleaned,23F_ideal,1.992620259858862,-6.579,-6.542,12,12
Orai1WT-MDSnap-Fr300_cleaned,251_ideal,0.05691550755286318,-8.876,-8.889,24,24
Orai1WT-MDSnap-Fr300_cleaned,256_ideal,16.05217378470236,-7.077,-6.534,14,14
Orai1WT-MDSnap-Fr300_cleaned,268_ideal,32.149305754557126,-5.616,-5.652,10,10
Orai1WT-MDSnap-Fr300_cleaned,269_ideal,0.0660261656122367,-6.045,-6.042,11,11
Orai1WT-MDSnap-Fr300_cleaned,26C_ideal,22.628276502433593,-7.571,-7.732,17,17
