protein,ligand,pose_id,conformer_id,sdf_path,centroid_x,centroid_y,centroid_z,status,num_conformers_generated
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/pose_01.sdf,-10.782530303030303,27.34163636363637,-6.5839484848484835,partial,5
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,2,2,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/pose_02.sdf,-10.125960606060609,28.056790909090907,-5.774518181818181,partial,5
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,3,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/pose_03.sdf,-10.802030303030303,28.046733333333336,-6.716027272727273,partial,5
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,4,4,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/pose_04.sdf,-10.192772727272727,26.636515151515145,-6.718196969696969,partial,5
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,5,5,/home/manndo/master_dev/equibind_docked_poses/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/pose_05.sdf,-11.69742424242424,28.514715151515148,-3.8026000000000004,partial,5
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300/pose_01.sdf,-12.074399999999999,26.471476470588232,-8.197223529411767,partial,3
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,2,2,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300/pose_02.sdf,-9.237923529411765,30.864867647058826,-5.957317647058823,partial,3
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,3,3,/home/manndo/master_dev/equibind_docked_poses/2abp-nh3p-OPT__Orai1WT-MDSnap-Fr300/pose_03.sdf,-11.341599999999998,26.328355882352934,-9.347788235294118,partial,3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,1,1,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300/pose_01.sdf,-11.19099069767442,28.82427209302325,-4.580779069767442,partial,4
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,2,2,/home/manndo/master_dev/equibind_docked_poses/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300/pose_02.sdf,-11.210990697674417,28.823055813953488,-4.56853023255814,partial,4
