protein,ligand,pose_id,conformer_id,sdf_path,centroid_x,centroid_y,centroid_z,status,num_conformers_generated
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300/pose_01.sdf,-11.919730303030303,29.59353636363636,-4.21919393939394,complete,1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,1,1,/home/manndo/master_dev/equibind_docked_poses_2/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300/pose_01.sdf,-8.526260465116279,24.45907209302326,-6.208197674418606,complete,1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr300/pose_01.sdf,-8.406446153846154,24.386328205128212,-10.106233333333334,complete,1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-prot-OPT__Orai1WT-MDSnap-Fr300/pose_01.sdf,-11.995265,27.20626249999999,-11.003987499999997,complete,1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/2abp-nh2-OPT__Orai1WT-MDSnap-Fr300_cleaned/pose_01.sdf,-11.158175757575753,32.403136363636364,-0.14014242424242435,complete,1
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,1,1,/home/manndo/master_dev/equibind_docked_poses_2/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr300_cleaned/pose_01.sdf,-8.462534883720926,24.998458139534886,-6.87997906976744,complete,1
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr300_cleaned/pose_01.sdf,-8.539258974358972,23.823310256410252,-11.009441025641024,complete,1
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-prot-OPT__Orai1WT-MDSnap-Fr300_cleaned/pose_01.sdf,-12.582129999999996,27.712855,-12.58047,complete,1
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/2abp-nh2-OPT__Orai1WT-MDSnap-Fr400/pose_01.sdf,-8.387218181818184,28.017390909090906,-5.70039393939394,complete,1
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,1,1,/home/manndo/master_dev/equibind_docked_poses_2/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr400/pose_01.sdf,-9.68876046511628,25.71982093023255,-2.7863162790697675,complete,1
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr400/pose_01.sdf,-9.032602564102564,24.21919230769231,-9.530810256410257,complete,1
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-prot-OPT__Orai1WT-MDSnap-Fr400/pose_01.sdf,-10.904017499999998,26.54378749999999,-5.779917500000001,complete,1
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/2abp-nh2-OPT__Orai1WT-MDSnap-Fr400_cleaned/pose_01.sdf,-10.146739393939395,31.608612121212122,-0.6446575757575757,complete,1
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,1,1,/home/manndo/master_dev/equibind_docked_poses_2/Synta-66-OPT-Singlet__Orai1WT-MDSnap-Fr400_cleaned/pose_01.sdf,-10.473897674418607,25.023716279069767,-4.3417720930232555,complete,1
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-deprot-OPT__Orai1WT-MDSnap-Fr400_cleaned/pose_01.sdf,-9.009556410256408,24.679674358974363,-10.845048717948718,complete,1
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-prot-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/gsk7975a-prot-OPT__Orai1WT-MDSnap-Fr400_cleaned/pose_01.sdf,-12.403715,25.30941499999999,-10.454667499999998,complete,1
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,1,1,/home/manndo/master_dev/equibind_docked_poses_2/2abp-nh2-OPT__Orai1WT-MDSnap-Fr499/pose_01.sdf,-9.002809090909093,29.443333333333328,-4.54618484848485,complete,1
