protein,ligand,pose_sdf,pose_centroid_x,pose_centroid_y,pose_centroid_z,in_fpocket,nearest_fpocket_id,nearest_fpocket_dist_A,in_p2rank,nearest_p2rank_id,nearest_p2rank_dist_A,in_any_pocket
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_001.sdf,-12.07,27.83,-3.55,False,fpocket_raw_p001,22.09,False,p2rank_raw_p004,18.85,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_002.sdf,-10.25,28.5,-6.28,False,fpocket_raw_p001,24.02,False,p2rank_raw_p004,15.96,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_003.sdf,-11.73,28.28,-5.48,False,fpocket_raw_p001,23.74,False,p2rank_raw_p004,17.22,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_004.sdf,-11.49,29.65,-3.28,False,fpocket_raw_p001,22.46,False,p2rank_raw_p004,19.4,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_005.sdf,-12.48,30.0,-0.37,False,fpocket_raw_p001,20.87,False,p2rank_raw_p004,22.39,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_006.sdf,-10.64,28.02,-7.14,False,fpocket_raw_p001,24.7,False,p2rank_raw_p004,15.25,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_007.sdf,-11.97,28.02,-3.15,False,fpocket_raw_p001,21.81,False,p2rank_raw_p004,19.2,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_008.sdf,-12.38,28.87,-3.91,False,fpocket_raw_p001,22.95,False,p2rank_raw_p004,19.0,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_009.sdf,-11.17,27.3,-5.68,False,fpocket_raw_p001,23.34,False,p2rank_raw_p004,16.49,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_010.sdf,-10.97,29.56,-1.64,False,fpocket_raw_p001,20.94,False,p2rank_raw_p004,20.57,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_011.sdf,-11.09,27.66,-4.91,False,fpocket_raw_p001,22.78,False,p2rank_raw_p004,17.21,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_012.sdf,-10.2,26.65,-7.23,False,fpocket_raw_p001,24.16,False,p2rank_raw_p004,14.56,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_013.sdf,-12.63,30.2,-0.9,False,fpocket_raw_p001,21.42,False,p2rank_raw_p004,22.06,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_014.sdf,-10.51,31.42,-2.01,False,fpocket_raw_p001,22.08,False,p2rank_raw_p004,20.79,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_015.sdf,-12.2,28.39,-3.26,False,fpocket_raw_p001,22.15,False,p2rank_raw_p004,19.31,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_016.sdf,-9.85,28.66,-6.99,False,fpocket_raw_p001,24.58,False,p2rank_raw_p004,15.27,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_017.sdf,-10.9,29.81,-2.77,False,fpocket_raw_p001,21.92,False,p2rank_raw_p004,19.66,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_018.sdf,-10.7,27.06,-3.89,False,fpocket_raw_p001,21.54,False,p2rank_raw_p004,17.78,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_019.sdf,-12.14,30.49,-1.85,False,fpocket_raw_p001,22.05,False,p2rank_raw_p004,21.17,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_020.sdf,-10.72,27.66,-3.68,False,fpocket_raw_p001,21.61,False,p2rank_raw_p004,18.12,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_021.sdf,-11.19,27.11,-4.63,False,fpocket_raw_p001,22.37,False,p2rank_raw_p004,17.35,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_022.sdf,-10.3,27.6,-7.54,False,fpocket_raw_p001,24.79,False,p2rank_raw_p004,14.63,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_023.sdf,-11.67,27.67,-3.45,False,fpocket_raw_p001,21.79,False,p2rank_raw_p004,18.72,False
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,unguided_024.sdf,-10.92,27.76,-4.23,False,fpocket_raw_p001,22.19,False,p2rank_raw_p004,17.75,False
