protein,ligand,pose_sdf,pose_centroid_x,pose_centroid_y,pose_centroid_z,in_fpocket,nearest_fpocket_id,nearest_fpocket_dist_A,in_p2rank,nearest_p2rank_id,nearest_p2rank_dist_A,in_any_pocket
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,unguided_001.sdf,-10.42,30.66,-0.73,False,fpocket_raw_p001,20.66,False,p2rank_raw_p004,22.34,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,unguided_002.sdf,-8.15,29.13,-1.47,False,fpocket_raw_p001,19.67,False,p2rank_raw_p004,20.61,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,unguided_003.sdf,-9.65,30.59,-0.18,False,fpocket_raw_p001,19.94,False,p2rank_raw_p004,22.61,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,unguided_004.sdf,-12.06,32.74,1.22,False,fpocket_raw_p001,21.27,False,p2rank_raw_p002,24.69,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,unguided_005.sdf,-10.14,30.92,-0.29,False,fpocket_raw_p001,20.39,False,p2rank_raw_p004,22.76,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,unguided_001.sdf,-10.13,29.95,-0.18,False,fpocket_raw_p001,19.74,False,p2rank_raw_p004,22.51,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,unguided_002.sdf,-12.16,30.42,-1.54,False,fpocket_raw_p001,21.8,False,p2rank_raw_p004,22.09,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,unguided_003.sdf,-10.62,28.93,-2.93,False,fpocket_raw_p001,21.52,False,p2rank_raw_p004,19.83,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,unguided_004.sdf,-11.35,30.13,-0.69,False,fpocket_raw_p001,20.69,False,p2rank_raw_p004,22.45,False
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,unguided_005.sdf,-10.6,29.28,-2.08,False,fpocket_raw_p001,21.01,False,p2rank_raw_p004,20.69,False
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,unguided_001.sdf,-10.17,30.2,-3.89,False,fpocket_raw_p001,22.77,False,p2rank_raw_p004,19.33,False
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,unguided_002.sdf,-9.55,28.67,-4.55,False,fpocket_raw_p001,22.4,False,p2rank_raw_p004,17.98,False
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,unguided_003.sdf,-10.12,29.98,-3.67,False,fpocket_raw_p001,22.46,False,p2rank_raw_p004,19.42,False
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,unguided_004.sdf,-9.93,28.98,-5.42,False,fpocket_raw_p001,23.39,False,p2rank_raw_p004,17.44,False
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,unguided_005.sdf,-10.29,30.03,-4.62,False,fpocket_raw_p001,23.31,False,p2rank_raw_p004,18.67,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,unguided_001.sdf,-11.41,26.58,-13.86,False,fpocket_raw_p003,25.58,False,p2rank_raw_p004,10.61,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,unguided_002.sdf,-10.11,24.74,-11.82,False,fpocket_raw_p003,24.7,False,p2rank_raw_p004,10.71,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,unguided_003.sdf,-11.51,26.02,-12.12,False,fpocket_raw_p003,26.04,False,p2rank_raw_p004,11.65,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,unguided_004.sdf,-10.83,26.23,-11.27,False,fpocket_raw_p003,26.39,False,p2rank_raw_p004,11.96,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,unguided_005.sdf,-11.37,25.78,-12.59,False,fpocket_raw_p003,25.56,False,p2rank_raw_p004,11.15,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,unguided_001.sdf,-11.92,27.28,-13.24,False,fpocket_raw_p003,26.62,False,p2rank_raw_p004,11.62,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,unguided_002.sdf,-12.63,28.15,-12.11,False,fpocket_raw_p003,28.13,False,p2rank_raw_p004,13.18,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,unguided_003.sdf,-11.24,27.77,-9.62,False,fpocket_raw_p001,26.98,False,p2rank_raw_p004,14.02,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,unguided_004.sdf,-11.15,27.86,-9.5,False,fpocket_raw_p001,26.88,False,p2rank_raw_p004,14.1,False
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,unguided_005.sdf,-11.42,28.0,-10.76,False,fpocket_raw_p001,28.14,False,p2rank_raw_p004,13.34,False
