Tool      | Stage               | Input                    | Output                     | Status  | Message                                                                                                                                                                                                                                       
----------+---------------------+--------------------------+----------------------------+---------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
openbabel | ligand_convert_pdb  | 2abp-nh2-OPT.xyz         | 2abp-nh2-OPT.pdb           | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_sdf  | 2abp-nh2-OPT.xyz         | 2abp-nh2-OPT.sdf           | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_mol2 | 2abp-nh2-OPT.xyz         | 2abp-nh2-OPT.mol2          | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_pdb  | 2abp-nh3p-OPT.xyz        | 2abp-nh3p-OPT.pdb          | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_sdf  | 2abp-nh3p-OPT.xyz        | 2abp-nh3p-OPT.sdf          | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_mol2 | 2abp-nh3p-OPT.xyz        | 2abp-nh3p-OPT.mol2         | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_pdb  | Synta-66-OPT-Singlet.xyz | Synta-66-OPT-Singlet.pdb   | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_sdf  | Synta-66-OPT-Singlet.xyz | Synta-66-OPT-Singlet.sdf   | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_mol2 | Synta-66-OPT-Singlet.xyz | Synta-66-OPT-Singlet.mol2  | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_pdb  | gsk7975a-deprot-OPT.xyz  | gsk7975a-deprot-OPT.pdb    | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_sdf  | gsk7975a-deprot-OPT.xyz  | gsk7975a-deprot-OPT.sdf    | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_mol2 | gsk7975a-deprot-OPT.xyz  | gsk7975a-deprot-OPT.mol2   | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_pdb  | gsk7975a-prot-OPT.xyz    | gsk7975a-prot-OPT.pdb      | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_sdf  | gsk7975a-prot-OPT.xyz    | gsk7975a-prot-OPT.sdf      | success |                                                                                                                                                                                                                                               
openbabel | ligand_convert_mol2 | gsk7975a-prot-OPT.xyz    | gsk7975a-prot-OPT.mol2     | success |                                                                                                                                                                                                                                               
meeko     | ligand_pdbqt        | 2abp-nh2-OPT.sdf         | 2abp-nh2-OPT.pdbqt         | success |                                                                                                                                                                                                                                               
meeko     | ligand_pdbqt        | 2abp-nh3p-OPT.sdf        |                            | failed  | Meeko ligand preparation failed for docking_read_obabel/2abp-nh3p-OPT.sdf: Command '['mk_prepare_ligand.py', '-i', 'docking_read_obabel/2abp-nh3p-OPT.sdf', '-o', 'docking_read_obabel/2abp-nh3p-OPT.pdbqt']' returned non-zero exit status 3.
meeko     | ligand_pdbqt        | Synta-66-OPT-Singlet.sdf | Synta-66-OPT-Singlet.pdbqt | success |                                                                                                                                                                                                                                               
meeko     | ligand_pdbqt        | gsk7975a-deprot-OPT.sdf  | gsk7975a-deprot-OPT.pdbqt  | success |                                                                                                                                                                                                                                               
meeko     | ligand_pdbqt        | gsk7975a-prot-OPT.sdf    | gsk7975a-prot-OPT.pdbqt    | success |                                                                                                                                                                                                                                               
