Tool     | Stage            | Input                            | Output                             | Status  | Message                   
---------+------------------+----------------------------------+------------------------------------+---------+---------------------------
pdbfixer | protein_validate | Orai1WT-MDSnap-Fr300.pdb         | Orai1WT-MDSnap-Fr300.pdb           | skipped | Validation skipped by user
pdbfixer | protein_validate | Orai1WT-MDSnap-Fr300_cleaned.pdb | Orai1WT-MDSnap-Fr300_cleaned.pdb   | skipped | Validation skipped by user
pdbfixer | protein_validate | Orai1WT-MDSnap-Fr400.pdb         | Orai1WT-MDSnap-Fr400.pdb           | skipped | Validation skipped by user
pdbfixer | protein_validate | Orai1WT-MDSnap-Fr400_cleaned.pdb | Orai1WT-MDSnap-Fr400_cleaned.pdb   | skipped | Validation skipped by user
pdbfixer | protein_validate | Orai1WT-MDSnap-Fr499.pdb         | Orai1WT-MDSnap-Fr499.pdb           | skipped | Validation skipped by user
pdbfixer | protein_validate | Orai1WT-MDSnap-Fr499_cleaned.pdb | Orai1WT-MDSnap-Fr499_cleaned.pdb   | skipped | Validation skipped by user
pdbfixer | protein_validate | Orai1WT-START-Fr0.pdb            | Orai1WT-START-Fr0.pdb              | skipped | Validation skipped by user
pdbfixer | protein_validate | Orai1WT-START-Fr0_cleaned.pdb    | Orai1WT-START-Fr0_cleaned.pdb      | skipped | Validation skipped by user
mgltools | protein_convert  | Orai1WT-MDSnap-Fr300.pdb         | Orai1WT-MDSnap-Fr300.pdbqt         | success |                           
mgltools | protein_convert  | Orai1WT-MDSnap-Fr300_cleaned.pdb | Orai1WT-MDSnap-Fr300_cleaned.pdbqt | success |                           
mgltools | protein_convert  | Orai1WT-MDSnap-Fr400.pdb         | Orai1WT-MDSnap-Fr400.pdbqt         | success |                           
mgltools | protein_convert  | Orai1WT-MDSnap-Fr400_cleaned.pdb | Orai1WT-MDSnap-Fr400_cleaned.pdbqt | success |                           
mgltools | protein_convert  | Orai1WT-MDSnap-Fr499.pdb         | Orai1WT-MDSnap-Fr499.pdbqt         | success |                           
mgltools | protein_convert  | Orai1WT-MDSnap-Fr499_cleaned.pdb | Orai1WT-MDSnap-Fr499_cleaned.pdbqt | success |                           
mgltools | protein_convert  | Orai1WT-START-Fr0.pdb            | Orai1WT-START-Fr0.pdbqt            | success |                           
mgltools | protein_convert  | Orai1WT-START-Fr0_cleaned.pdb    | Orai1WT-START-Fr0_cleaned.pdbqt    | success |                           
