method,protein,ligand,pose_name,pose_file,output_image,interactions,total_interactions,error,attractive_charge,repulsion,metal_coordination,carbon_pi,hydrophobic,cation_pi,covalent,alkyl_pi,amide_pi,hydrogen_bonds,salt_bridge,pi_cation,donor_pi,pi_pi_stacking,halogen_bonds,ionic
autodock,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT/images/Orai1WT-MDSnap-Fr300__2abp-nh2-OPT_pose1_interactions.png,"{'hydrogen_bonds': 2, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 2, 'amide_pi': 1, 'hydrophobic': 4, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 2, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 1, 'alkyl_pi': 3, 'attractive_charge': 0, 'pi_cation': 1, 'repulsion': 0}",16,,0,0,0,0,4,2,1,3,1,2,0,1,2,0,0,0
autodock,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet/images/Orai1WT-MDSnap-Fr300__Synta-66-OPT-Singlet_pose1_interactions.png,"{'hydrogen_bonds': 3, 'carbon_pi': 1, 'pi_pi_stacking': 1, 'donor_pi': 1, 'amide_pi': 1, 'hydrophobic': 6, 'ionic': 0, 'halogen_bonds': 1, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 7, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",21,,0,0,0,1,6,0,0,7,1,3,0,0,1,1,1,0
autodock,Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,Orai1WT-MDSnap-Fr300__gsk7975a-prot-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr300__gsk7975a-prot-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr300__gsk7975a-prot-OPT/images/Orai1WT-MDSnap-Fr300__gsk7975a-prot-OPT_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autodock,Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,Orai1WT-MDSnap-Fr400__2abp-nh2-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__2abp-nh2-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr400__2abp-nh2-OPT/images/Orai1WT-MDSnap-Fr400__2abp-nh2-OPT_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 1, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 1, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 1, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",3,,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet/images/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autodock,Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,Orai1WT-MDSnap-Fr400__gsk7975a-prot-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__gsk7975a-prot-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr400__gsk7975a-prot-OPT/images/Orai1WT-MDSnap-Fr400__gsk7975a-prot-OPT_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autodock,Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,Orai1WT-MDSnap-Fr499__2abp-nh2-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__2abp-nh2-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr499__2abp-nh2-OPT/images/Orai1WT-MDSnap-Fr499__2abp-nh2-OPT_pose1_interactions.png,"{'hydrogen_bonds': 5, 'carbon_pi': 1, 'pi_pi_stacking': 1, 'donor_pi': 1, 'amide_pi': 1, 'hydrophobic': 5, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 8, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",22,,0,0,0,1,5,0,0,8,1,5,0,0,1,1,0,0
autodock,Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,Orai1WT-MDSnap-Fr499__Synta-66-OPT-Singlet_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__Synta-66-OPT-Singlet_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr499__Synta-66-OPT-Singlet/images/Orai1WT-MDSnap-Fr499__Synta-66-OPT-Singlet_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autodock,Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT/images/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_pose1_interactions.png,"{'hydrogen_bonds': 0, 'carbon_pi': 0, 'pi_pi_stacking': 0, 'donor_pi': 0, 'amide_pi': 0, 'hydrophobic': 0, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 0, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autodock,Orai1WT-START-Fr0,2abp-nh2-OPT,Orai1WT-START-Fr0__2abp-nh2-OPT_pose1,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-START-Fr0__2abp-nh2-OPT_vina_out_model1.sdf,/home/manndo/master_dev/pandamap_results/full_analysis/autodock/Orai1WT-START-Fr0__2abp-nh2-OPT/images/Orai1WT-START-Fr0__2abp-nh2-OPT_pose1_interactions.png,"{'hydrogen_bonds': 2, 'carbon_pi': 1, 'pi_pi_stacking': 1, 'donor_pi': 4, 'amide_pi': 1, 'hydrophobic': 3, 'ionic': 0, 'halogen_bonds': 0, 'cation_pi': 0, 'metal_coordination': 0, 'salt_bridge': 0, 'covalent': 0, 'alkyl_pi': 3, 'attractive_charge': 0, 'pi_cation': 0, 'repulsion': 0}",15,,0,0,0,1,3,0,0,3,1,2,0,0,4,1,0,0
