pose_file,docking_method,mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model1.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model2.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model3.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model4.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model5.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model6.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model7.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model8.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model9.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model10.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model11.sdf,AutoDock_Vina,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
