mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,mol_true_loaded,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,docking_method,protein,ligand,pose_file,pose_name,file_format,protein_file_used,posebusters_mode,diffdock_confidence
True,True,True,True,True,True,True,True,False,True,True,True,0.0,True,False,True,True,True,False,True,True,True,False,True,True,True,82,0.9695861854127368,1.0200368690164558,0,0,117,1.045324072325351,0,2882,0.3157195804683711,9,82,117,2873,1,1,0.0001119913774881,0,0,,0,0,,87.0,433874.5741067405,177.07635166378634,2450.2118438182824,0.5430654564599019,77,49.0,18675.0,C,C,1.7,1.7,3.4,0.5430654564599019,3.4,0.1597251342529123,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.1877369732423356,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank6_confidence-4.07.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank6_confidence-4.07.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,4.07
True,True,True,True,True,True,True,True,False,True,True,True,0.0,True,True,True,True,True,True,True,True,True,False,True,True,True,82,0.9696163224635818,1.0199703264705218,0,0,117,1.0452923052222152,0,2882,0.3922319142499917,9,82,117,2873,1,1,9.756360720980516e-05,0,0,,0,0,,87.0,47756.46386306978,179.70813858140446,265.7445802958834,2.7969396275214806,0,69.0,1178.0,C,N,1.7,1.6,3.3,2.7969396275214806,3.3,0.8475574628852972,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0018848618665517,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank3_confidence-3.66.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank3_confidence-3.66.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.66
True,True,True,True,True,True,True,True,False,True,True,True,0.0,True,False,True,True,True,False,True,True,True,False,True,True,True,82,0.969587333440396,1.0200290697619117,0,0,117,1.045319976080103,0,2882,0.3683915309412039,4,82,117,2878,1,1,8.898813815572115e-05,0,0,,0,0,,87.0,77073.89934276907,169.95284173693054,453.5016805548418,0.7031679529102552,99,50.0,18669.0,C,C,1.7,1.7,3.4,0.7031679529102552,3.4,0.2068141037971339,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.2442719284058439,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank10_confidence-4.42.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank10_confidence-4.42.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,4.42
True,True,True,True,True,True,True,True,False,True,True,True,0.0,True,False,True,True,True,False,True,True,True,False,True,True,True,82,0.9696121589101409,1.0200092298725865,0,0,117,1.0452869980074952,0,2882,0.4024820237125687,7,82,117,2875,1,1,0.0001113638407919,0,0,,0,0,,87.0,89315.5612959029,168.0196419035617,531.5780957750605,0.4463108669974326,99,48.0,18669.0,C,C,1.7,1.7,3.4,0.4463108669974326,3.4,0.1312679020580684,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.2261484098939929,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank5_confidence-4.05.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank5_confidence-4.05.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,4.05
True,True,True,True,True,True,True,True,False,True,True,True,0.0,True,False,True,True,True,False,True,True,True,False,True,True,True,82,0.9695640933084908,1.0199925576032631,0,0,117,1.0452951862939908,0,2882,0.4014086205138568,3,82,117,2879,1,1,0.0001120791583928,0,0,,0,0,,87.0,31373.25279000642,169.95284173693054,184.59975408101133,0.3536846335367173,131,49.0,19185.0,C,C,1.7,1.7,3.4,0.3536846335367173,3.4,0.1040248922166815,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.2784405624201108,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank7_confidence-4.09.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank7_confidence-4.09.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,4.09
True,True,True,True,True,True,True,True,False,True,True,True,0.0,True,False,True,True,True,True,True,True,True,False,True,True,True,82,0.9696182468287468,1.019977324252806,0,0,117,1.045324294862256,0,2882,0.1511377782941163,14,82,117,2868,1,1,7.63783477481933e-05,0,0,,0,0,,87.0,3294951646.7928824,177.07635166378634,18607519.388297454,2.395940635742046,1,4.0,1091.0,C,O,1.7,1.55,3.25,2.395940635742046,3.25,0.7372125033052449,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.004816902950353,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank1.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank1.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,
True,True,True,True,True,True,True,True,False,True,True,True,0.0,True,False,True,True,True,True,True,True,True,False,True,True,True,82,0.9696182468287468,1.019977324252806,0,0,117,1.045324294862256,0,2882,0.1511377782941163,14,82,117,2868,1,1,7.63783477481933e-05,0,0,,0,0,,87.0,3294951646.7928824,177.07635166378634,18607519.388297454,2.395940635742046,1,4.0,1091.0,C,O,1.7,1.55,3.25,2.395940635742046,3.25,0.7372125033052449,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.004816902950353,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank1_confidence-3.22.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank1_confidence-3.22.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.22
True,True,True,True,True,True,True,True,False,True,True,True,1.0,True,False,True,True,True,True,True,True,True,False,True,True,True,82,0.9695249332072317,1.019944176598603,0,0,117,1.045308747928738,0,2882,0.568078151606079,3,82,117,2879,1,1,0.0001055602608887,0,0,,0,0,,87.0,4102.568587422802,176.5339466532067,23.23954494419207,2.185940079233645,1,58.0,1154.0,C,C,1.7,1.7,3.4,2.185940079233645,3.4,0.642923552715778,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0052464228934817,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank2_confidence-3.37.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank2_confidence-3.37.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.37
True,True,True,True,True,True,True,True,False,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,82,0.9695748139478216,1.019952811984927,0,0,117,1.0453052287580769,0,2882,0.530608619112755,5,82,117,2877,1,1,8.988600821080439e-05,0,0,,0,0,,87.0,3619.8349767602535,177.07635166378634,20.442226998403545,2.45920673592116,0,33.0,1325.0,C,O,1.7,1.55,3.25,2.45920673592116,3.25,0.7566789956680492,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0026388009288579,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank4_confidence-3.87.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank4_confidence-3.87.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.87
True,True,True,True,True,True,True,True,False,True,True,True,1.0,True,False,True,True,True,False,True,True,True,False,True,True,True,82,0.9695665858854644,1.0199189499965604,0,0,117,1.0452799883937884,0,2882,0.5200509232784505,3,82,117,2879,1,1,0.0001212121880498,0,0,,0,0,,87.0,2881.1749038225817,177.07635166378634,16.270805653896964,0.7169187610880333,87,47.0,18674.0,C,C,1.7,1.7,3.4,0.7169187610880333,3.4,0.2108584591435392,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.1997246637721063,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZIY_ideal,/workspace/diffdock_results/ligands_sdf_large_approvedA100/ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank8_confidence-4.16.sdf,ZIY_ideal__Orai1WT-START-Fr0_cleaned/rank8_confidence-4.16.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,4.16
