mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,mol_true_loaded,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,docking_method,protein,ligand,pose_file,pose_name,file_format,protein_file_used,posebusters_mode,diffdock_confidence
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9975129514744224,1.0037887854504972,0,0,18,1.0000145869967416,0,47,1.0088579788564316,0,13,18,47,1,1,3.104192829322949e-05,0,0,,0,0,,12.0,20.563533487450226,18.028195532373758,1.1406318203351906,3.273764395921002,0,4.0,20271.0,C,N,1.7,1.6,3.3,3.273764395921002,3.3,0.9920498169457582,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0012088244182532,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank1_confidence-1.46.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank1_confidence-1.46.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,1.46
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9974910588649216,1.0037691062724745,0,0,18,1.0000115419974385,0,47,1.0087790955159213,0,13,18,47,1,1,4.801870003937232e-05,0,0,,0,0,,12.0,27.221830723866777,18.028195532373758,1.5099587019113336,3.948988004539897,0,8.0,20941.0,O,C,1.55,1.7,3.25,3.948988004539897,3.25,1.2150732321661222,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank2_confidence-3.06.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank2_confidence-3.06.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.06
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9974898210577994,1.003744298344485,0,0,18,1.0000302338925715,0,47,1.0108001496975296,0,13,18,47,1,1,3.2754142582497314e-05,0,0,,0,0,,12.0,26.308259640053265,18.028195532373758,1.4592841303951225,3.501448191820064,0,9.0,200.0,N,C,1.6,1.7,3.3,3.501448191820064,3.3,1.0610449066121408,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank7_confidence-3.59.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank7_confidence-3.59.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.59
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9975097805103368,1.003777599982077,0,0,18,1.0000124293110229,0,47,1.0095917766977829,0,13,18,47,1,1,2.220659398163849e-05,0,0,,0,0,,12.0,23.010747649724635,18.028195532373758,1.2763755312284897,3.2473582786628272,0,9.0,200.0,N,C,1.6,1.7,3.3,3.2473582786628272,3.3,0.9840479632311598,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0011979634621144,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank6_confidence-3.48.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank6_confidence-3.48.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.48
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9974546415291368,1.003749018918175,0,0,18,1.0000414432687372,0,47,1.0161370317443368,0,13,18,47,1,1,4.044876788830698e-05,0,0,,0,0,,12.0,21.401574626656007,18.028195532373758,1.1871168463989965,3.582078529289942,0,9.0,200.0,N,C,1.6,1.7,3.3,3.582078529289942,3.3,1.0854783422090737,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank4_confidence-3.43.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank4_confidence-3.43.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.43
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9974416865124032,1.0037594846270377,0,0,18,1.0000286626885038,0,47,0.9984907825076296,0,13,18,47,1,1,3.49052605615463e-05,0,0,,0,0,,12.0,23.104249542820657,18.028195532373758,1.2815619567322578,3.552222179143641,0,7.0,201.0,O,C,1.55,1.7,3.25,3.552222179143641,3.25,1.0929914397365048,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank10_confidence-3.89.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank10_confidence-3.89.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.89
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9974852982879474,1.0037105594043605,0,0,18,0.999990431837767,0,47,1.0161374270422654,0,13,18,47,1,1,2.0606639284825867e-05,0,0,,0,0,,12.0,21.83319355009451,18.028195532373758,1.2110581733423076,3.5637795680990143,0,9.0,200.0,N,C,1.6,1.7,3.3,3.5637795680990143,3.3,1.0799332024542467,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank3_confidence-3.31.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank3_confidence-3.31.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.31
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9975317373170962,1.003798613281118,0,0,18,1.000041026319821,0,47,1.0100065259151254,0,13,18,47,1,1,3.983893066655808e-05,0,0,,0,0,,12.0,26.481552319311515,18.028195532373758,1.468896444558626,3.241124314184817,0,9.0,200.0,N,C,1.6,1.7,3.3,3.241124314184817,3.3,0.9821588830863082,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0014983518130056,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank8_confidence-3.61.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank8_confidence-3.61.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.61
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.997488146275114,1.0037950543168042,0,0,18,1.00002216597924,0,47,0.9967831660581128,0,13,18,47,1,1,5.443272957594836e-06,0,0,,0,0,,12.0,22.859213713657716,18.028195532373758,1.267970145576065,3.3931522659615494,0,9.0,200.0,N,C,1.6,1.7,3.3,3.3931522659615494,3.3,1.0282279593822878,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank5_confidence-3.44.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank5_confidence-3.44.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,3.44
True,True,True,True,True,True,True,True,True,True,True,True,1.0,True,True,True,True,True,True,True,True,True,False,True,True,True,13,0.9975129514744224,1.0037887854504972,0,0,18,1.0000145869967416,0,47,1.0088579788564316,0,13,18,47,1,1,3.104192829322949e-05,0,0,,0,0,,12.0,20.563533487450226,18.028195532373758,1.1406318203351906,3.273764395921002,0,4.0,20271.0,C,N,1.7,1.6,3.3,3.273764395921002,3.3,0.9920498169457582,False,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.0012088244182532,,,,diffdock,Orai1WT-START-Fr0_cleaned,ZYX_ideal,/workspace/diffdock_results/ligands_sdf_small_symmetric_approved/ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank1.sdf,ZYX_ideal__Orai1WT-START-Fr0_cleaned/rank1.sdf,sdf,/workspace/master_dev/Orai/Orai1WT-START-Fr0_cleaned.pdb,dock,
