Protein,Ligand,Diffdock,Total
Orai1WT-MDSnap-Fr300_cleaned,007_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,010_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,08D_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,0A9_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,13X_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,144_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,150_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,152_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,171_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,173_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,174_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,178_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1AL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1BN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1CM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1CY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1JZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1K5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1OH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1PC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1WE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,201_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,205_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,210_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,21B_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,221_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,22F_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,231_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,23F_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,251_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,256_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,268_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,269_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,26C_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,270_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,283_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,299_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2C7_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2H3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2HA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2HP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2OH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,328_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,36M_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3FG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3G3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3HG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3IM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3MI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3PO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3RL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3SY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,416_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,41A_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,44B_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4AZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4BB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4BR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4BZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4CB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4CH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4FA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4FC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4FP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4J8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4KS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4MB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4ND_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4NL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4NP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4PG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4PI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4PN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4SM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4SO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,505_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,521_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,566_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,572_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5AN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5B3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,641_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6BD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6LH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6LR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6WT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,787_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,791_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7BD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7N8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,7TI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,80G_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,911_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,92G_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,949_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9CA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,9Y6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1AIA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1AIK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1AT0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1CR0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1EEY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1IPI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1JBL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A1LWH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A26_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A3M_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A41_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,A56_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AAN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ABN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AC0_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AC5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ACH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ADB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AEF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AES_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AHC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AL2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ALC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ALF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ALQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ALR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AM4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AMC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AN1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ANL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ANN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,APF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,APG_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,APL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ARL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ASR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AST_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,AX3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B1T_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B1V_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B2F_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,B40_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BAS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BBS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BBT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BC1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BCE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BDB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BEK_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BET_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BEZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BFD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BFL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BHO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BHQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BIF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BIH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BIP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BMU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BNF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BNS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BO3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BOS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BP4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BP6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BPZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BRB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BRV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BS4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BSB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BSU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BTL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BTP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BU1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BUM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BZM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,BZQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C1R_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,C5U_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CAD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CAQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CAX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CBQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CCB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CCE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CDX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CEQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CHT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CHZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CIU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CK4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CLT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CLU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CNH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CO2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CO3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,COX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CP5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CPZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CRZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CUL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CVB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CXF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CXL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CXP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,CYH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,D1D_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,D4G_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,D4P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,D8W_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DBA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DBE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DBF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DBY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DCD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DCO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DDP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DEP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DES_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DFA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DFP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DHR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DIF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DII_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DIO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DMB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DMF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DMS_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DMW_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DMZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DNQ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DP4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DPJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DPN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DPT_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DQN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DSM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DTD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DTL_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DTY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DXE_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DXX_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DZ1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DZ2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DZ3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,DZZ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,E1P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,E4B_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EAO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EDN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EF6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EI3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EMR_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ENO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,EOU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ESA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,ETF_ideal,11,11
