Protein,Ligand,Diffdock,Total
Orai1WT-MDSnap-Fr300_cleaned,05J_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,07J_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,0LI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,11U_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,128_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,140_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,146_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,169_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,17F_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1JY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1L3_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1N1_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1VU_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,1XJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,21V_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,243_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,276_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,27U_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2CA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2CP_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2ED_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2I4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2MC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2RD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2S8_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2TA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,2YB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,30B_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,32U_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,347_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,34W_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,385_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,38P_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3B9_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3CB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3H4_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3HC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3IN_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3N6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,3ZC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,442_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,46U_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4CA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4CC_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4CO_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4EA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4HD_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4IF_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,4UH_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,50U_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,54J_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,570_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,587_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,59U_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5CB_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5D5_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5FA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5MV_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5PI_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5X6_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,5YM_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,626_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,63J_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,63K_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,65C_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,66T_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6E2_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6EJ_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6FA_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6GY_ideal,11,11
Orai1WT-MDSnap-Fr300_cleaned,6K9_ideal,11,11
