protein,ligand,n_poses,k_kmedoids,k_ward,ARI,NMI,same_k
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,97,7,10,0.532,0.73,False
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,4,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,83,10,10,0.837,0.878,True
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,7,3,3,1.0,1.0,True
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,77,10,10,0.932,0.958,True
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,5,2,2,-0.154,0.202,True
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,3,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,4,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,2,1,1,1.0,1.0,True
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,68,10,10,0.841,0.891,True
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,7,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,75,10,10,0.89,0.93,True
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,6,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,70,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,5,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh3p-OPT,3,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,4,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,2,1,1,1.0,1.0,True
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,69,8,10,0.565,0.786,False
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,8,4,3,0.9,0.926,False
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,74,10,10,0.954,0.962,True
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,5,3,3,1.0,1.0,True
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,57,9,10,0.968,0.986,False
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,5,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh3p-OPT,3,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,4,2,2,1.0,1.0,True
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,2,1,1,1.0,1.0,True
Orai1WT-START-Fr0,2abp-nh2-OPT,71,10,10,0.905,0.922,True
Orai1WT-START-Fr0,2abp-nh3p-OPT,8,3,3,1.0,1.0,True
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,74,10,2,0.267,0.498,False
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,5,2,2,1.0,1.0,True
Orai1WT-START-Fr0,gsk7975a-prot-OPT,71,8,8,0.84,0.915,True
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,5,2,2,1.0,1.0,True
Orai1WT-START-Fr0_cleaned,2abp-nh3p-OPT,3,2,2,1.0,1.0,True
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,4,2,2,1.0,1.0,True
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,2,1,1,1.0,1.0,True
