protein,ligand,cluster_id,cluster_method,n_poses,center_x,center_y,center_z,radius_A,AutoDock_Vina,DiffDock,EquiBind,n_methods,methods_present,pocket_type,n_methods_in_pocket
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,0,kmedoids,10,2.3478929411764704,27.4902026625387,25.7191686377709,20.66,4,6,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,1,kmedoids,12,21.117708101135193,26.91739040247678,-15.384530830753357,59.73,1,11,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,2,kmedoids,9,21.52234527003784,-18.13731568627451,11.481527898176815,29.88,1,8,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,3,kmedoids,28,-4.422031247235736,-3.937254677134012,-24.307130871295886,32.03,15,13,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,4,kmedoids,13,-10.43806917664379,26.85537560458118,-7.5010012535452155,27.45,2,6,5,3,"AutoDock_Vina, DiffDock, EquiBind",Overlapping,3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,5,kmedoids,10,23.583830030959753,10.217194705882353,12.212533157894736,30.37,2,8,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,6,kmedoids,15,-10.26403095975232,-1.5261119504643958,17.881882621259027,33.18,5,10,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,0,kmedoids,3,-10.884641176470588,27.888233333333332,-7.83410980392157,3.89,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,1,kmedoids,1,-18.312158823529415,21.446876470588236,23.018600000000003,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,0,kmedoids,7,-9.464019943019943,-17.279944729344727,7.652034025234026,16.17,6,1,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,1,kmedoids,9,-13.135492861665083,-6.490422412155746,-29.543317679645458,14.5,7,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,2,kmedoids,5,-12.679352193732194,17.356571994301994,12.847068774928776,14.94,1,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,3,kmedoids,11,2.2515175084175088,1.302041284641284,22.649538306138307,21.5,4,7,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
