protein,ligand,cluster_id,cluster_method,n_poses,center_x,center_y,center_z,radius_A,AutoDock_Vina,DiffDock,EquiBind,n_methods,methods_present,pocket_type,n_methods_in_pocket
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,0,ward,14,20.32190696594427,18.84998967271119,17.594611123396724,26.59,3,11,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,1,ward,16,-12.009214415634675,-8.830049361455107,-26.487979450464398,27.83,9,7,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,2,ward,14,3.7476199469261386,4.314779411764706,-22.74029026979213,25.85,6,8,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,3,ward,11,12.808289248522374,25.04412367013791,-16.91003785533352,21.73,1,10,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,4,ward,8,20.994258281733746,-18.44769044117647,15.165920356037152,20.82,1,7,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,5,ward,9,-10.830367826875566,28.859123413703596,-0.8268869155955844,15.11,1,3,5,3,"AutoDock_Vina, DiffDock, EquiBind",Overlapping,3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,6,ward,1,42.40255882352942,82.68791176470589,-17.39190588235294,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,7,ward,6,-19.099703921568626,-12.156586842105263,11.95638968008256,28.91,2,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,8,ward,15,-5.099728998968009,12.709830835913312,23.327986233230135,17.9,7,8,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,9,ward,3,28.48410392156863,-6.075296078431372,-16.047350980392157,10.15,0,3,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,0,ward,3,-10.884641176470588,27.888233333333332,-7.83410980392157,3.89,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,1,ward,1,-18.312158823529415,21.446876470588236,23.018600000000003,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,0,ward,11,7.117561046361047,25.563957951307952,-21.813861162911163,14.52,7,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,1,ward,8,-10.03351745014245,-14.607033368945867,7.4552941951566964,19.18,6,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,2,ward,5,17.546130797720796,13.82916284900285,12.722562421652421,21.75,1,4,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,3,ward,11,-0.8816026936026934,7.528020603470603,25.122692760942765,19.08,5,6,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,4,ward,9,-13.135492861665083,-6.490422412155746,-29.543317679645458,14.5,7,2,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,5,ward,7,-11.513646353560306,25.919099086142108,1.8250870881487156,11.1,1,2,4,3,"AutoDock_Vina, DiffDock, EquiBind",Overlapping,3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,6,ward,17,1.3740867437573323,5.893044218200101,-20.09939565946037,15.11,3,14,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,7,ward,6,27.15173717948718,4.586560256410257,-23.48144871794872,14.96,0,6,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,8,ward,7,23.928663186813186,-14.170817032967031,-21.757364285714285,13.07,0,7,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,9,ward,2,12.230303846153845,-13.632482692307693,15.694396153846153,3.95,0,2,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,0,ward,4,12.769354464285716,6.871768750000001,-31.10143392857143,24.63,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,1,ward,2,-10.9451725,25.643509999999996,-14.204563750000002,1.48,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,2,ward,1,13.155721428571427,15.56495714285715,18.669675,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,0,ward,9,17.165968253968252,-2.9496845238095246,-28.976586111111114,24.43,0,9,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,1,ward,10,4.506366904761904,24.22841726190476,-28.037371309523813,25.45,3,7,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,2,ward,8,-27.219002678571428,5.6872348214285715,-29.232036607142856,24.28,0,8,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,3,ward,7,1.6431653061224492,3.9230367346938775,26.382093367346943,16.22,0,7,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,4,ward,5,16.815691666666666,19.155703333333335,15.719119999999998,10.88,4,1,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,5,ward,13,0.7347496336996339,4.879006593406594,-21.64969441391942,10.78,3,10,0,2,"AutoDock_Vina, DiffDock",Overlapping,2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,6,ward,4,32.316739285714284,20.653351785714285,-14.912108928571428,20.67,0,4,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,7,ward,7,-9.247390476190477,-20.43077619047619,5.566742857142857,1.59,7,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,8,ward,1,38.13136428571427,-9.924092857142856,-59.54108928571428,0.0,0,1,0,1,DiffDock,Unique (DiffDock),1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,9,ward,13,-7.774297435897437,-5.059212820512821,-26.2415,3.35,13,0,0,1,AutoDock_Vina,Unique (AutoDock_Vina),1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,0,ward,3,-9.863556565656564,30.446347474747473,-0.47453535353535364,1.26,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,1,ward,2,-10.337519696969695,31.15365151515152,1.1733333333333331,0.58,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,0,ward,2,-11.028988235294115,29.221774999999994,-2.554747058823529,0.89,0,0,2,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh3p-OPT,1,ward,1,-9.685647058823527,32.93292352941177,0.1351411764705884,0.0,0,0,1,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,0,ward,3,-10.52533953488372,29.654920155038763,-4.736729457364341,0.02,0,0,3,1,EquiBind,Unique (EquiBind),1
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,1,ward,1,-10.629227906976741,29.67068139534884,-4.950083720930232,0.0,0,0,1,1,EquiBind,Unique (EquiBind),1
