n_clusters,n_methods,n_poses,overlapping_clusters,overlap_fraction,mean_inter_method_dist,spatial_spread,conformity_score,protein,ligand
2,2,70,2,1.0,15.68,28.48,0.696,Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT
2,3,74,2,1.0,17.54,29.06,0.6811,Orai1WT-START-Fr0,Synta-66-OPT-Singlet
2,2,6,1,0.833,14.84,23.58,0.6671,Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT
10,3,69,9,0.942,19.3,30.29,0.561,Orai1WT-MDSnap-Fr499,2abp-nh2-OPT
10,3,97,8,0.959,20.5,30.93,0.5605,Orai1WT-MDSnap-Fr300,2abp-nh2-OPT
10,3,74,7,0.851,18.95,28.8,0.5348,Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet
10,3,83,7,0.819,23.66,26.79,0.5072,Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet
10,3,68,6,0.706,17.77,27.76,0.4907,Orai1WT-MDSnap-Fr400,2abp-nh2-OPT
10,2,57,6,0.684,20.24,29.65,0.4546,Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT
10,3,71,6,0.592,18.56,26.63,0.4477,Orai1WT-START-Fr0,2abp-nh2-OPT
10,3,75,4,0.56,22.06,27.31,0.4096,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet
10,2,77,3,0.364,14.04,26.1,0.3873,Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT
3,2,5,0,0.0,27.21,15.23,0.3052,Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT
2,2,4,0,0.0,32.38,12.48,0.3025,Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT
8,2,71,1,0.127,23.77,24.51,0.2647,Orai1WT-START-Fr0,gsk7975a-prot-OPT
3,2,7,0,0.0,30.07,23.86,0.2305,Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT
2,2,5,0,0.0,42.58,21.0,0.1845,Orai1WT-START-Fr0,gsk7975a-deprot-OPT
3,2,8,0,0.0,37.37,24.9,0.1798,Orai1WT-START-Fr0,2abp-nh3p-OPT
3,2,8,0,0.0,43.87,26.71,0.1287,Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT
2,2,7,0,0.0,51.03,26.46,0.1036,Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT
