Protein,Ligand,Method_1,Method_2,RMSD_Angstrom,Centroid_Distance_Angstrom,Num_Poses_Method1,Num_Poses_Method2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,DiffDock,0.81,46.643,30,71
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,EquiBind,1.631,20.1,30,5
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,EquiBind,1.645,38.956,71,5
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,EquiBind,1.534,7417.649,51,3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,DiffDock,1.15,40.893,30,51
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,1.68,50.551,30,4
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,EquiBind,1.688,32.777,51,4
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,DiffDock,2.406,46.895,30,51
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,2.03,43.912,30,2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,DiffDock,EquiBind,2.085,42.808,51,2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,DiffDock,2.137,558.88,30,51
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,EquiBind,0.967,58.94,30,5
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,1.333,40.236,30,4
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,1.845,34.45,30,2
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,DiffDock,1.509,53.973,30,41
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,AutoDock_Vina,EquiBind,1.036,30.096,30,5
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,DiffDock,EquiBind,1.249,43.601,41,5
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,DiffDock,EquiBind,1.344,27479.247,41,3
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,DiffDock,1.039,54.658,30,41
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,1.299,36.655,30,4
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,DiffDock,EquiBind,0.815,49.82,41,4
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,DiffDock,2.117,24.858,30,41
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,2.416,22.218,30,2
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,DiffDock,EquiBind,1.666,36.017,41,2
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,AutoDock_Vina,DiffDock,2.561,50.968,30,41
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,AutoDock_Vina,EquiBind,1.48,29.103,30,5
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,1.731,41.255,30,4
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,2.563,22.215,30,2
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,DiffDock,1.271,43.916,30,41
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,AutoDock_Vina,EquiBind,1.609,35.285,30,5
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,DiffDock,EquiBind,1.199,29.218,41,5
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,DiffDock,EquiBind,1.606,130.181,41,3
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,DiffDock,0.718,53.763,30,41
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,0.819,32.867,30,4
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,DiffDock,EquiBind,0.556,44.295,41,4
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,DiffDock,2.266,59.212,30,41
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,2.212,43.65,30,2
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,DiffDock,EquiBind,1.878,57.419,41,2
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,AutoDock_Vina,DiffDock,1.69,33.007,30,31
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,AutoDock_Vina,EquiBind,1.31,40.634,30,5
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,0.822,32.511,30,4
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,1.433,14.79,30,2
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,DiffDock,1.598,150.209,30,41
Orai1WT-START-Fr0,2abp-nh2-OPT,AutoDock_Vina,EquiBind,1.34,22.183,30,5
Orai1WT-START-Fr0,2abp-nh2-OPT,DiffDock,EquiBind,1.118,150.519,41,5
Orai1WT-START-Fr0,2abp-nh3p-OPT,DiffDock,EquiBind,0.846,100032.106,41,3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,DiffDock,1.609,2.825,30,41
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,1.385,30.879,30,3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,DiffDock,EquiBind,1.045,31.168,41,3
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,DiffDock,2.522,50.599,30,41
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,2.139,25.933,30,2
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,DiffDock,EquiBind,2.514,37.09,41,2
Orai1WT-START-Fr0,gsk7975a-prot-OPT,AutoDock_Vina,DiffDock,1.778,34.113,30,41
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,AutoDock_Vina,EquiBind,1.468,26.255,30,5
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,AutoDock_Vina,EquiBind,0.89,23.643,30,4
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,AutoDock_Vina,EquiBind,1.967,22.009,30,2
