docking_tool,protein,protein_original,ligand,pose_count,file_path,prefix_match,postfix_match
AutoDock_Vina,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0_cleaned__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-START-Fr0_cleaned,Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0_cleaned__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400_cleaned__2abp-nh2-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr400_cleaned,Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400_cleaned__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499__gsk7975a-deprot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-START-Fr0,Orai1WT-START-Fr0,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-START-Fr0__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr400,Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr400__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499_cleaned,Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499_cleaned__Synta-66-OPT-Singlet_vina_out.pdbqt,no_prefix_filter,no_postfix
AutoDock_Vina,Orai1WT-MDSnap-Fr499,Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,30,/home/manndo/master_dev/docking_ready_mgltools/docking/Orai1WT-MDSnap-Fr499__gsk7975a-prot-OPT_vina_out.pdbqt,no_prefix_filter,no_postfix
