family_id,family,correction,family_size,contrast,metric,tool,unit,n_exp,n_bench,n_exp_ligands,n_bench_ligands,median_exp,median_bench,mean_exp,mean_bench,cliffs_delta,delta_lo,delta_hi,p_raw,p_adj,stars,source
A1,PB-valid share,Holm,3,AutoDock Vina,pbvalid_share,AutoDock,frame_x_ligand,12,1232,3,308,1.0,1.0,1.0,0.9905844155844157,-0.030032467532467532,-0.03979301948051948,-0.021103896103896104,0.5433357325166365,0.5433357325166365,ns,pbvalid_tm_share_per_unit.csv
A1,PB-valid share,Holm,3,AutoDock Vina,pbvalid_share,AutoDock,ligand,3,308,3,308,1.0,1.0,1.0,0.9922077922077923,-0.01948051948051948,-0.03571428571428571,-0.006493506493506494,0.8179610608939003,0.8179610608939003,ns,pbvalid_tm_share_per_unit.csv
A1,PB-valid share,Holm,3,DiffDock,pbvalid_share,DiffDock,frame_x_ligand,12,1215,3,308,1.0,0.8,0.9333333333333332,0.7850326605264877,-0.49026063100137174,-0.7144770233196159,-0.22176440329218133,0.002967980605662808,0.005935961211325616,**,pbvalid_tm_share_per_unit.csv
A1,PB-valid share,Holm,3,DiffDock,pbvalid_share,DiffDock,ligand,3,308,3,308,0.95,0.8388888888888889,0.9500000000000001,0.7927759740259741,-0.6753246753246753,-0.9025974025974026,-0.4220238095238098,0.043521454435901864,0.11370208282510015,ns,pbvalid_tm_share_per_unit.csv
A1,PB-valid share,Holm,3,EquiBind,pbvalid_share,EquiBind,frame_x_ligand,12,1215,3,308,1.0,0.3,0.8166666666666668,0.4243621399176955,-0.554320987654321,-0.7831327160493827,-0.2602126200274349,0.0008019717872014884,0.0024059153616044653,**,pbvalid_tm_share_per_unit.csv
A1,PB-valid share,Holm,3,EquiBind,pbvalid_share,EquiBind,ligand,3,308,3,308,1.0,0.30000000000000004,0.85,0.41168831168831166,-0.6948051948051948,-0.9285714285714286,-0.2824675324675325,0.037900694275033384,0.11370208282510015,ns,pbvalid_tm_share_per_unit.csv
A2,outside-TM (usable) share,Holm,3,AutoDock Vina,outside_tm_share,AutoDock,frame_x_ligand,12,1232,3,308,0.6,0.9,0.5416666666666666,0.8282467532467532,0.5894209956709957,0.3306936553030303,0.7951941287878788,0.0001883208219838522,0.0005649624659515567,***,pbvalid_tm_share_per_unit.csv
A2,outside-TM (usable) share,Holm,3,AutoDock Vina,outside_tm_share,AutoDock,ligand,3,308,3,308,0.55,0.925,0.5499999999999999,0.8807900432900432,0.935064935064935,0.8863636363636364,0.9751352813852813,0.003996217521544887,0.011988652564634661,*,pbvalid_tm_share_per_unit.csv
A2,outside-TM (usable) share,Holm,3,DiffDock,outside_tm_share,DiffDock,frame_x_ligand,12,1215,3,308,0.6499999999999999,0.7142857142857143,0.6833333333333332,0.7092086354432033,0.1607681755829904,-0.1376954732510288,0.41667524005486967,0.3332774057658908,0.6665548115317816,ns,pbvalid_tm_share_per_unit.csv
A2,outside-TM (usable) share,Holm,3,DiffDock,outside_tm_share,DiffDock,ligand,3,308,3,308,0.6499999999999999,0.75,0.7000000000000001,0.7119408369408369,0.16125541125541126,-0.44155844155844154,0.564935064935065,0.6319840463748227,1.0,ns,pbvalid_tm_share_per_unit.csv
A2,outside-TM (usable) share,Holm,3,EquiBind,outside_tm_share,EquiBind,frame_x_ligand,12,1215,3,308,0.0,0.0,0.016666666666666666,0.02864197530864198,0.013580246913580247,-0.16049382716049382,0.1102880658436214,0.8751865307946318,0.8751865307946318,ns,pbvalid_tm_share_per_unit.csv
A2,outside-TM (usable) share,Holm,3,EquiBind,outside_tm_share,EquiBind,ligand,3,308,3,308,0.0,0.0,0.0,0.018668831168831168,0.07792207792207792,0.048701298701298704,0.11038961038961038,0.6205963662284364,1.0,ns,pbvalid_tm_share_per_unit.csv
B,cluster quality ('raw' cloud),Holm,18,Silhouette / AutoDock Vina,silhouette,autodock,frame_x_ligand,11,1161,3,308,0.776,0.721,0.7738181818181818,0.6901826012058571,-0.3120350794769399,-0.5686496750450238,-0.00019967112990388033,0.07460698577370922,0.6472136400536617,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Silhouette / AutoDock Vina,silhouette,autodock,ligand,3,308,3,308,0.77,0.7055,0.7989999999999999,0.6994642857142858,-0.4967532467532468,-0.8831168831168831,-0.19475108225108256,0.13955241885460531,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Silhouette / DiffDock,silhouette,diffdock,frame_x_ligand,12,1126,3,302,0.1745,0.418,0.2595,0.4330195381882771,0.5260509177027827,0.2052009325044405,0.8072287596210774,0.0017021527910816737,0.030638750239470127,*,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Silhouette / DiffDock,silhouette,diffdock,ligand,3,302,3,302,0.206,0.41625,0.246,0.42302317880794704,0.7196467991169978,0.304635761589404,0.9801324503311258,0.032233369333772514,0.41903380133904267,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Silhouette / EquiBind,silhouette,equibind,frame_x_ligand,4,743,2,280,0.836,0.515,0.7854999999999999,0.5186621803499327,-0.8808882907133243,-0.9979811574697174,-0.656106998654105,0.0023647756191900846,0.04020118552623144,*,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Silhouette / EquiBind,silhouette,equibind,ligand,2,280,2,280,0.7855,0.5175000000000001,0.7855,0.528775,,,,,,n/a,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Calinski–Harabasz / AutoDock Vina,ch_score,autodock,frame_x_ligand,11,1161,3,308,721.407,612.312,1005.8026363636365,1188.331514211886,-0.0923185341789993,-0.39356745752094585,0.2191880040717249,0.5980807886458455,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Calinski–Harabasz / AutoDock Vina,ch_score,autodock,ligand,3,308,3,308,832.3915000000001,650.7617500000001,848.7151666666668,901.2251542207794,-0.16233766233766234,-0.6039502164502165,0.4155844155844156,0.6487644294240923,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Calinski–Harabasz / DiffDock,ch_score,diffdock,frame_x_ligand,12,1126,3,302,79.2735,195.788,203.85791666666668,3931.8254271758437,0.4780935464772054,0.13527605091770278,0.7565312314979277,0.004348576306858868,0.06088006829602415,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Calinski–Harabasz / DiffDock,ch_score,diffdock,ligand,3,302,3,302,78.553,209.096,84.02883333333334,2274.696425496689,0.891832229580574,0.7947019867549668,0.9646799116997793,0.0017145200283617663,0.024003280397064727,*,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Calinski–Harabasz / EquiBind,ch_score,equibind,frame_x_ligand,4,743,2,280,115.031,15.752,90.3015,20.285305518169583,-0.7335127860026918,-0.9946164199192463,-0.22669919246298834,0.011364234725966664,0.13637081671159998,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Calinski–Harabasz / EquiBind,ch_score,equibind,ligand,2,280,2,280,90.3015,15.914,90.3015,19.44319821428571,,,,,,n/a,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Davies–Bouldin / AutoDock Vina,db_score,autodock,frame_x_ligand,11,1161,3,308,0.083,0.062,0.07800000000000001,0.0730947459086994,-0.0611541774332472,-0.45308902983321586,0.3599933442956697,0.727034668316753,1.0,ns,cluster_quality_per_tool.csv
B,cluster quality ('raw' cloud),Holm,18,Davies–Bouldin / AutoDock Vina,db_score,autodock,ligand,3,308,3,308,0.0615,0.06475,0.0755,0.06580357142857142,-0.012987012987012988,-0.961038961038961,0.8378246753246744,0.9716917860616254,1.0,ns,cluster_quality_per_tool.csv
