Protein,Ligand,AutoDock_Vina,DiffDock,EquiBind,Total
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,30,71,40,141
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,0,51,40,91
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,30,51,25,106
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,30,51,40,121
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,30,51,20,101
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,30,0,0,30
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,30,0,0,30
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,30,0,0,30
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-prot-OPT,30,0,0,30
Orai1WT-MDSnap-Fr300pm,2abp-nh2-OPT,0,0,40,40
Orai1WT-MDSnap-Fr300pm,2abp-nh3p-OPT,0,0,40,40
Orai1WT-MDSnap-Fr300pm,Synta-66-OPT-Singlet,0,0,25,25
Orai1WT-MDSnap-Fr300pm,gsk7975a-deprot-OPT,0,0,40,40
Orai1WT-MDSnap-Fr300pm,gsk7975a-prot-OPT,0,0,20,20
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,30,41,40,111
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,0,41,20,61
Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,30,41,20,91
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,30,41,20,91
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,30,41,20,91
Orai1WT-MDSnap-Fr400_cleaned,2abp-nh2-OPT,30,0,0,30
Orai1WT-MDSnap-Fr400_cleaned,Synta-66-OPT-Singlet,30,0,0,30
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-deprot-OPT,30,0,0,30
Orai1WT-MDSnap-Fr400_cleaned,gsk7975a-prot-OPT,30,0,0,30
Orai1WT-MDSnap-Fr499,2abp-nh2-OPT,30,41,33,104
Orai1WT-MDSnap-Fr499,2abp-nh3p-OPT,0,41,41,82
Orai1WT-MDSnap-Fr499,Synta-66-OPT-Singlet,30,41,20,91
Orai1WT-MDSnap-Fr499,gsk7975a-deprot-OPT,30,41,40,111
Orai1WT-MDSnap-Fr499,gsk7975a-prot-OPT,30,31,20,81
Orai1WT-MDSnap-Fr499_cleaned,2abp-nh2-OPT,30,0,0,30
Orai1WT-MDSnap-Fr499_cleaned,Synta-66-OPT-Singlet,30,0,0,30
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-deprot-OPT,30,0,0,30
Orai1WT-MDSnap-Fr499_cleaned,gsk7975a-prot-OPT,30,0,0,30
Orai1WT-START-Fr0,2abp-nh2-OPT,30,41,20,91
Orai1WT-START-Fr0,2abp-nh3p-OPT,0,41,40,81
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,30,41,20,91
Orai1WT-START-Fr0,gsk7975a-deprot-OPT,30,41,40,111
Orai1WT-START-Fr0,gsk7975a-prot-OPT,30,41,20,91
Orai1WT-START-Fr0_cleaned,2abp-nh2-OPT,30,0,0,30
Orai1WT-START-Fr0_cleaned,Synta-66-OPT-Singlet,30,0,0,30
Orai1WT-START-Fr0_cleaned,gsk7975a-deprot-OPT,30,0,0,30
Orai1WT-START-Fr0_cleaned,gsk7975a-prot-OPT,30,0,0,30
