mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,mol_true_loaded,mol_cond_loaded,passes_valence_checks,passes_kekulization,no_radicals_before_sanitization,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_non-aromatic_rings_checked,number_non-aromatic_rings_pass,non-aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,num_h_added,mol_pred_energy,ensemble_avg_energy,energy_ratio,docking_method,protein,ligand,pose_file,pose_name,file_format,protein_file_used,posebusters_mode,diffdock_confidence
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9580238534266574,1.0289346620495805,0,0,38,1.0395350293754586,0,259,0.9637164298810534,0,28,38,259,3,3,0.0026681777073081837,0,0,,0,0,,16,103.74796548071477,62.35802326266372,1.663746861309391,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model1.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose1,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9580625842365215,1.028384992545358,0,0,38,1.039190655545261,0,259,0.9443349555121734,0,28,38,259,3,3,0.002711760128480396,0,0,,0,0,,16,108.28719317243495,62.35802326266372,1.7365398629829707,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model2.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose2,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9581471061752055,1.028600654987926,0,0,38,1.039317466259118,0,259,0.9528926135351425,0,28,38,259,3,3,0.002621839287570145,0,0,,0,0,,16,113.21844783073404,62.35802326266372,1.815619577192764,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model3.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose3,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9580330128811607,1.0289698381158119,0,0,38,1.0395482930058806,0,259,1.0063888887515076,0,28,38,259,3,3,0.0025741575220441727,0,0,,0,0,,16,100.93926881654824,62.35802326266372,1.618705397240914,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model4.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose4,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9580120768564766,1.0288767091127222,0,0,38,1.0394707909102432,0,259,0.9663679868931256,0,28,38,259,3,3,0.0025732454254872895,0,0,,0,0,,16,106.18423515121124,62.35802326266372,1.7028159264116387,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model5.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose5,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9581010518018801,1.0282581907934174,0,0,38,1.039454904194925,0,259,0.9723090310913284,0,28,38,259,3,3,0.0015632540318099625,0,0,,0,0,,16,113.00351851503083,62.35802326266372,1.8121728785250097,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model6.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose6,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9579882615721647,1.0285205764094016,0,0,38,1.0391591818763983,0,259,0.9575795962355805,0,28,38,259,3,3,0.002389386410572842,0,0,,0,0,,16,123.76067381606941,62.35802326266372,1.9846792335729788,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model7.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose7,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9579346095866151,1.0281322760728837,0,0,38,1.0396424444947527,0,259,0.946817857546382,0,28,38,259,3,3,0.0023915431404716967,0,0,,0,0,,16,109.17117149994353,62.35802326266372,1.7507157184905304,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model8.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose8,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9580534250647356,1.0286583979252257,0,0,38,1.0394247496159876,0,259,0.9886182161404183,0,28,38,259,3,3,0.00307927888797408,0,0,,0,0,,16,106.18808456342548,62.35802326266372,1.7028776572365243,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model9.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose9,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9572475985848846,1.0288719735144738,0,0,38,1.0396704338337133,0,259,0.9683125631362236,0,28,38,259,3,3,0.002364508636609131,0,0,,0,0,,16,114.68692776103691,62.35802326266372,1.8391687510355164,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model10.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose10,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9583108952714756,1.028111514458882,0,0,38,1.03916535325915,0,259,1.0063989607090795,0,28,38,259,3,3,0.0025051216804593056,0,0,,0,0,,16,101.32373555750247,62.35802326266372,1.6248708707572055,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model11.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose11,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9579131479509951,1.028884827230439,0,0,38,1.039358036249644,0,259,0.9450918424829917,0,28,38,259,3,3,0.002375787281125186,0,0,,0,0,,16,111.6894861483654,62.35802326266372,1.791100492039465,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model12.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose12,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9577812268484968,1.028322496127044,0,0,38,1.0390830394260098,0,259,0.9670258216476196,0,28,38,259,3,3,0.002704046822335546,0,0,,0,0,,16,116.51453115019838,62.35802326266372,1.8684769826557404,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model13.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose13,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9577765150444923,1.028523960137465,0,0,38,1.039206083466153,0,259,1.0062549352111847,0,28,38,259,3,3,0.0028329170263707935,0,0,,0,0,,16,100.31303173833864,62.35802326266372,1.608662790925897,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model14.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose14,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9579738674319573,1.0282550318312984,0,0,38,1.0392779745571743,0,259,0.9656244075168852,0,28,38,259,3,3,0.002780398780571512,0,0,,0,0,,16,112.89845363452922,62.35802326266372,1.8104880130497354,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model15.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose15,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9577354166600248,1.028559826970563,0,0,38,1.0393862646243588,0,259,1.0062215966713244,0,28,38,259,3,3,0.002577695160905096,0,0,,0,0,,16,104.36833991374063,62.35802326266372,1.6736954517323546,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model16.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose16,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9580186194133378,1.028559375823197,0,0,38,1.0393122213538672,0,259,0.9535994641125004,0,28,38,259,3,3,0.0017704061437975756,0,0,,0,0,,16,108.0533915215291,62.35802326266372,1.732790519455498,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model17.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose17,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9582017928685407,1.0289076027187647,0,0,38,1.0396413650010239,0,259,1.0010221955907028,0,28,38,259,3,3,0.002498014549661289,0,0,,0,0,,16,105.69565063446589,62.35802326266372,1.6949807755973267,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model18.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose18,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9575160209247235,1.0285383972521307,0,0,38,1.039541506983551,0,259,1.0063178589679067,0,28,38,259,3,3,0.002435069085145463,0,0,,0,0,,16,104.56208402122215,62.35802326266372,1.676802415316903,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model19.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose19,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.957671016918395,1.028892043281303,0,0,38,1.0394516651260801,0,259,1.0064171422993522,0,28,38,259,3,3,0.0027896610181654745,0,0,,0,0,,16,104.91826027977389,62.35802326266372,1.6825142105265019,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model20.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose20,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.957485123454017,1.0285711055904039,0,0,38,1.0393119128292039,0,259,1.0062818625256325,0,28,38,259,3,3,0.0023815922775807957,0,0,,0,0,,16,100.33846296307439,62.35802326266372,1.6090706169506035,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model21.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose21,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9580958182102898,1.0285320810394005,0,0,38,1.0394476548363838,0,259,1.006218805690478,0,28,38,259,3,3,0.002686982818541908,0,0,,0,0,,16,100.40170627617019,62.35802326266372,1.6100848138379775,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model22.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose22,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9577084530675595,1.028418382576794,0,0,38,1.039499170457598,0,259,1.0063005258932631,0,28,38,259,3,3,0.0025202213881545064,0,0,,0,0,,16,104.19210272695243,62.35802326266372,1.6708692366349667,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model23.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose23,sdf,none,mol,
True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,28,0.9576927457705753,1.0284237970743353,0,0,38,1.0396226278955831,0,259,1.0062893627990854,0,28,38,259,3,3,0.0028848185824504723,0,0,,0,0,,16,100.42332884888584,62.35802326266372,1.6104315626857493,autodock,Orai1WT-MDSnap-Fr400,Synta-66-OPT-Singlet,/home/manndo/master_dev/posebusters_results/converted_pdbqt/Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_vina_out_model24.sdf,Orai1WT-MDSnap-Fr400__Synta-66-OPT-Singlet_pose24,sdf,none,mol,
