protein,ligand,category,cluster_id,method_1,method_2,n_poses_m1,n_poses_m2,mean_rmsd,median_rmsd,min_rmsd,max_rmsd,std_rmsd
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,CONFORMING,0,AutoDock_Vina,DiffDock,5,5,28.64,28.37,10.1,43.47,8.04
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,CONFORMING,0,AutoDock_Vina,AutoDock_Vina,5,5,3.19,3.25,2.22,3.79,0.45
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,CONFORMING,0,DiffDock,DiffDock,5,5,6.35,8.29,0.0,8.7,2.85
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,CONFORMING,1,AutoDock_Vina,DiffDock,5,5,26.4,27.48,8.63,43.31,9.24
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,CONFORMING,1,AutoDock_Vina,AutoDock_Vina,5,5,4.41,4.66,2.52,5.66,1.04
Orai1WT-MDSnap-Fr400,gsk7975a-prot-OPT,CONFORMING,1,DiffDock,DiffDock,5,5,5.49,4.86,2.01,9.25,2.67
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,0,AutoDock_Vina,DiffDock,3,3,29.67,23.25,13.23,52.39,16.31
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,0,AutoDock_Vina,EquiBind,3,3,50.13,50.01,49.78,50.62,0.3
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,0,DiffDock,EquiBind,3,3,35.02,41.21,14.04,49.8,15.14
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,0,AutoDock_Vina,AutoDock_Vina,3,3,6.57,8.93,1.78,8.99,3.38
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,0,DiffDock,DiffDock,3,3,5.36,6.63,2.67,6.78,1.9
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,0,EquiBind,EquiBind,3,3,4.56,5.87,1.73,6.07,2.0
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,1,AutoDock_Vina,DiffDock,5,5,25.25,24.57,20.1,32.89,4.45
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,1,AutoDock_Vina,AutoDock_Vina,5,5,2.87,2.81,1.98,3.74,0.59
Orai1WT-START-Fr0,Synta-66-OPT-Singlet,CONFORMING,1,DiffDock,DiffDock,5,5,5.39,5.89,0.0,8.8,3.16
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,CONFORMING,0,DiffDock,EquiBind,2,2,31.24,31.19,24.2,38.36,6.29
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,CONFORMING,0,DiffDock,DiffDock,2,2,5.76,5.76,5.76,5.76,0.0
Orai1WT-MDSnap-Fr400,gsk7975a-deprot-OPT,CONFORMING,0,EquiBind,EquiBind,2,2,3.01,3.01,3.01,3.01,0.0
