Protein,Ligand,AutoDock_Vina_vs_DiffDock_Min,AutoDock_Vina_vs_DiffDock_Mean,AutoDock_Vina_vs_DiffDock_Max,AutoDock_Vina_vs_DiffDock_Range,AutoDock_Vina_vs_EquiBind_Min,AutoDock_Vina_vs_EquiBind_Mean,AutoDock_Vina_vs_EquiBind_Max,AutoDock_Vina_vs_EquiBind_Range,DiffDock_vs_EquiBind_Min,DiffDock_vs_EquiBind_Mean,DiffDock_vs_EquiBind_Max,DiffDock_vs_EquiBind_Range
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,1.02,1.31,1.58,1.0 | 1.3 | 1.6,0.81,1.38,1.74,0.8 | 1.4 | 1.7,0.92,1.3,1.63,0.9 | 1.3 | 1.6
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,,,,,,,,,1.19,1.57,1.89,1.2 | 1.6 | 1.9
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,1.06,1.24,1.73,1.1 | 1.2 | 1.7,0.67,1.13,1.46,0.7 | 1.1 | 1.5,0.62,1.04,1.56,0.6 | 1.0 | 1.6
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,1.49,1.88,2.35,1.5 | 1.9 | 2.4,1.38,1.89,2.37,1.4 | 1.9 | 2.4,1.77,1.95,2.23,1.8 | 2.0 | 2.2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,1.31,1.67,2.02,1.3 | 1.7 | 2.0,,,,,,,,
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,,,,,0.92,1.29,1.72,0.9 | 1.3 | 1.7,,,,
Orai1WT-MDSnap-Fr300_cleaned,Synta-66-OPT-Singlet,,,,,0.74,1.26,1.64,0.7 | 1.3 | 1.6,,,,
Orai1WT-MDSnap-Fr300_cleaned,gsk7975a-deprot-OPT,,,,,1.73,2.17,2.77,1.7 | 2.2 | 2.8,,,,
Orai1WT-MDSnap-Fr400,2abp-nh2-OPT,1.14,1.36,1.68,1.1 | 1.4 | 1.7,0.72,1.32,1.88,0.7 | 1.3 | 1.9,0.83,1.18,1.91,0.8 | 1.2 | 1.9
Orai1WT-MDSnap-Fr400,2abp-nh3p-OPT,,,,,,,,,1.24,1.49,1.71,1.2 | 1.5 | 1.7
