Protein,Ligand,Method_1,Pose_1_Rank,Method_2,Pose_2_Rank,RMSD_Å,Centroid_Δ_Å,Comparison
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,1,1.4,58.56,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,2,1.17,46.16,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,1,DiffDock,3,1.2,35.37,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,1,1.43,43.95,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,2,1.02,69.65,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,2,DiffDock,3,1.14,60.16,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,1,1.58,44.07,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,2,1.35,69.57,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,3,DiffDock,3,1.53,60.23,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,1.61,32.56,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,0.81,31.74,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.74,32.7,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,1.56,51.12,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,0.88,52.0,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,3,1.72,51.66,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,1,1.4,51.15,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,2,1.38,52.02,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,AutoDock_Vina,3,EquiBind,3,1.3,51.69,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,1,EquiBind,1,0.97,51.07,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,1,EquiBind,2,1.52,50.87,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,1,EquiBind,3,1.16,51.37,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,2,EquiBind,1,1.15,53.41,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,2,EquiBind,2,0.92,53.85,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,2,EquiBind,3,1.49,53.89,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,3,EquiBind,1,1.63,44.28,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,3,EquiBind,2,1.31,43.56,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh2-OPT,DiffDock,3,EquiBind,3,1.55,44.53,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,1,EquiBind,1,1.19,31.94,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,1,EquiBind,2,1.62,31.51,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,1,EquiBind,3,1.89,33.38,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,2,EquiBind,1,1.75,45.44,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,2,EquiBind,2,1.29,48.52,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,2,EquiBind,3,1.65,46.25,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,3,EquiBind,1,1.19,31.94,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,3,EquiBind,2,1.62,31.51,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300,2abp-nh3p-OPT,DiffDock,3,EquiBind,3,1.89,33.38,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,1,1.2,31.17,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,2,1.06,36.46,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,1,DiffDock,3,1.06,36.46,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,1,1.14,32.27,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,2,1.41,35.74,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,2,DiffDock,3,1.41,35.74,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,1,1.73,18.95,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,2,1.07,38.12,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,3,DiffDock,3,1.07,38.12,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,1,1.19,18.02,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,2,0.67,17.92,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,1,EquiBind,3,0.88,17.92,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,1,1.46,19.27,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,2,0.99,19.17,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,2,EquiBind,3,1.36,19.17,AutoDock_Vina#2 vs EquiBind#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,1,1.11,40.21,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,2,1.43,40.16,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,AutoDock_Vina,3,EquiBind,3,1.1,40.16,AutoDock_Vina#3 vs EquiBind#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,1,1.5,39.27,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,2,1.38,39.27,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,1,EquiBind,3,1.56,39.27,DiffDock#1 vs EquiBind#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,1,0.62,51.16,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,2,1.12,51.03,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,2,EquiBind,3,0.71,51.03,DiffDock#2 vs EquiBind#3
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,1,0.62,51.16,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,2,1.12,51.03,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300,Synta-66-OPT-Singlet,DiffDock,3,EquiBind,3,0.71,51.03,DiffDock#3 vs EquiBind#3
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,1,2.35,33.91,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,2,1.67,14.45,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,1,DiffDock,3,2.35,33.91,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,1,1.86,50.14,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,2,2.16,46.28,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,2,DiffDock,3,1.86,50.14,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,1,1.49,31.77,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,2,1.69,12.23,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,3,DiffDock,3,1.49,31.77,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,1,1.86,34.49,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,1,EquiBind,2,2.37,35.74,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,1,2.01,34.68,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,2,EquiBind,2,1.38,31.91,AutoDock_Vina#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,1,1.8,31.89,AutoDock_Vina#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,AutoDock_Vina,3,EquiBind,2,1.95,33.15,AutoDock_Vina#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,1,2.23,27.14,DiffDock#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,DiffDock,1,EquiBind,2,1.77,28.8,DiffDock#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,1,1.92,25.39,DiffDock#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,DiffDock,2,EquiBind,2,1.8,26.16,DiffDock#2 vs EquiBind#2
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,1,2.23,27.14,DiffDock#3 vs EquiBind#1
Orai1WT-MDSnap-Fr300,gsk7975a-deprot-OPT,DiffDock,3,EquiBind,2,1.77,28.8,DiffDock#3 vs EquiBind#2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,1,2.02,23.7,AutoDock_Vina#1 vs DiffDock#1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,2,1.82,34.66,AutoDock_Vina#1 vs DiffDock#2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,1,DiffDock,3,1.48,23.14,AutoDock_Vina#1 vs DiffDock#3
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,1,1.39,25.25,AutoDock_Vina#2 vs DiffDock#1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,2,1.98,34.14,AutoDock_Vina#2 vs DiffDock#2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,2,DiffDock,3,1.31,21.85,AutoDock_Vina#2 vs DiffDock#3
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,1,1.45,22.42,AutoDock_Vina#3 vs DiffDock#1
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,2,1.74,32.63,AutoDock_Vina#3 vs DiffDock#2
Orai1WT-MDSnap-Fr300,gsk7975a-prot-OPT,AutoDock_Vina,3,DiffDock,3,1.88,24.85,AutoDock_Vina#3 vs DiffDock#3
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,1,1.72,42.51,AutoDock_Vina#1 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,2,0.92,42.15,AutoDock_Vina#1 vs EquiBind#2
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,1,EquiBind,3,1.6,42.84,AutoDock_Vina#1 vs EquiBind#3
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,1,0.99,42.39,AutoDock_Vina#2 vs EquiBind#1
Orai1WT-MDSnap-Fr300_cleaned,2abp-nh2-OPT,AutoDock_Vina,2,EquiBind,2,1.7,42.02,AutoDock_Vina#2 vs EquiBind#2
