protein,ligand,status,num_poses,best_affinity_kcal,elapsed_time_s,output_dir
Orai1WT-MDSnap-Fr300_cleaned,05J_ideal,success,10,-8.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,07J_ideal,success,10,-7.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,0LI_ideal,success,10,-10.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,10A_ideal,success,10,-5.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,11U_ideal,success,10,-8.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,128_ideal,success,10,-7.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,138_ideal,success,10,-8.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,140_ideal,success,10,-5.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,146_ideal,success,10,-8.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,169_ideal,success,10,-7.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,16A_ideal,success,10,-5.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,17F_ideal,success,10,-5.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,1JY_ideal,success,10,-8.7,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,1L3_ideal,success,10,-8.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,1N1_ideal,success,10,-7.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,1VU_ideal,success,10,-6.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,1XJ_ideal,success,10,-8.0,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,21V_ideal,success,10,-7.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,243_ideal,success,10,-5.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,276_ideal,success,10,-8.4,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,27U_ideal,success,10,-8.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2CP_ideal,success,10,-5.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2ED_ideal,success,10,-5.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2I4_ideal,success,10,-7.5,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2MC_ideal,success,10,-6.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2RD_ideal,success,10,-5.8,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2S8_ideal,success,10,-7.3,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2TA_ideal,success,10,-8.1,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,2YB_ideal,success,10,-8.6,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,30B_ideal,success,10,-6.9,0.28,/workspace/master_dev/docking_ready_meeko/docking
Orai1WT-MDSnap-Fr300_cleaned,32U_ideal,success,10,-8.2,0.28,/workspace/master_dev/docking_ready_meeko/docking
