protein,n_poses,spearman_rho,kendall_tau,aff_top1_from_dd_rank,dd_top1_to_aff_rank
5S8I_2LY,30,0.3441601779755284,0.24597701149425286,2,3
5SAK_ZRY,30,0.4407119021134594,0.30114942528735633,12,10
5SB2_1K2,30,0.1421579532814238,0.0896551724137931,11,12
5SD5_HWI,30,0.28587319243604004,0.28735632183908044,30,6
5SIS_JSM,30,0.5012235817575084,0.37931034482758624,22,6
6M2B_EZO,30,0.7521690767519467,0.5494252873563219,4,8
6M73_FNR,30,0.018689509516028113,0.004602994992456255,11,3
6T88_MWQ,30,0.10679719723444636,0.023014974962281276,5,7
6TW5_9M2,29,0.8131543355188134,0.6239215593859679,6,4
6TW7_NZB,30,0.6195773081201335,0.439080459770115,7,4
6VS3_R6V,30,0.621357063403782,0.45287356321839084,8,12
6VTA_AKN,30,0.40600667408231367,0.2781609195402299,5,3
6W59_SZD,30,0.6186874304783093,0.44367816091954027,2,19
6WTN_RXT,30,0.7521690767519467,0.5816091954022989,3,8
6X8D_ARA,30,-0.4175750834260289,-0.2827586206896552,23,25
6XAF_GDP,30,0.5140759160353598,0.3737046593418299,2,13
6XBO_5MC,30,0.45272525027808674,0.2827586206896552,11,14
6XCT_478,30,0.5773081201334815,0.44367816091954027,4,9
6XG5_TOP,30,0.525250278086763,0.3977011494252874,18,9
6XHT_V2V,29,0.7137931034482757,0.5418719211822659,6,3
6XM9_V55,30,0.2489432703003337,0.167816091954023,5,6
6XUM_30L,30,-0.2738598442714127,-0.17241379310344826,17,11
6Y7L_QMG,30,0.3730812013348164,0.22298850574712642,9,5
6YDY_K73,30,0.5617352614015573,0.39310344827586213,13,21
6YJA_2BA,30,0.07007786429365963,0.06666666666666667,27,22
6YMS_OZH,30,0.3797552836484983,0.2413793103448276,8,21
6YQV_8K2,30,0.12552861248106334,0.09930821870881373,14,14
6YQW_82I,30,0.1605254856743951,0.12978410723718237,1,1
6YR2_T1C,25,0.7037742091020344,0.5150193417161111,7,6
6YRV_PJ8,9,0.11866111313364182,0.029012942659282972,3,6
6YSP_PAL,30,0.8901001112347052,0.7563218390804598,1,1
6YT6_PKE,30,0.7561735261401556,0.6,1,1
6YYO_Q1K,30,0.6076315534318187,0.4602994992456255,4,15
6Z0R_Q4H,30,0.5159065628476084,0.36551724137931035,1,1
6Z14_Q4Z,30,-0.5095683259221843,-0.38479364818258754,29,28
6Z1C_7EY,30,0.6275862068965516,0.4666666666666667,29,8
6Z2C_Q5E,30,0.40333704115684094,0.25517241379310346,15,9
6Z4N_Q7B,30,0.22224694104560622,0.15402298850574714,10,17
6Z5Z_BDF,30,0.7263626251390434,0.5540229885057472,12,4
6ZAE_ACV,30,-0.11546162402669634,-0.05287356321839081,8,7
6ZC3_JOR,30,0.5768631813125694,0.42528735632183906,1,1
6ZCY_QF8,30,0.8398220244716351,0.6183908045977011,12,11
6ZK5_IMH,30,0.4358660612130842,0.2853856895322878,7,12
6ZPB_3D1,30,0.4442714126807564,0.2827586206896552,12,11
6ZR8_QOZ,30,0.3997775305895439,0.2781609195402299,16,23
6ZT2_QPK,30,0.2877810211666931,0.21222733740400215,25,15
6ZX3_QRZ,30,0.13351135177000462,0.05299553238442822,9,21
6ZXQ_IMO,30,0.11724137931034483,0.08045977011494253,9,25
7A1P_QW2,30,0.09590565435478667,0.029953996565111603,16,16
7A9E_R4W,30,-0.04516129032258065,-0.04827586206896552,7,21
7A9H_TPP,30,0.5773081201334815,0.4344827586206897,1,1
7AA0_R6B,30,0.22580645161290322,0.1632183908045977,2,3
7AFX_R9K,30,0.3882091212458286,0.25517241379310346,2,2
7AKL_RK5,30,-0.09810901001112346,-0.04827586206896552,1,1
7AMC_73B,30,0.2395995550611791,0.15402298850574714,29,4
7AN5_RDH,30,0.07853170189098999,0.07126436781609195,1,1
7AS1_21G,30,0.21008124014605184,0.17070459747713215,27,23
7AVI_S2Q,29,0.40443349753694574,0.29064039408866993,1,1
7B0E_C2E,30,0.1657397107897664,0.11264367816091954,28,3
7B94_ANP,30,0.35261401557285876,0.2413793103448276,17,11
7BA0_T5H,30,0.32061408586424417,0.22094375963790022,15,8
7BCP_GCO,30,0.5706340378197998,0.4344827586206897,1,1
7BHX_TO5,30,0.2676307007786429,0.18160919540229886,1,1
7BJ6_TVK,30,0.4211345939933259,0.3103448275862069,10,4
7BJJ_TVW,30,0.2059216843919061,0.09953943722601598,30,21
7BKA_4JC,30,0.17775305895439378,0.1310344827586207,18,19
7BLA_WCS,30,0.8095661846496106,0.5908045977011495,6,12
7BLG_GAL,30,0.38020022246941043,0.2735632183908046,5,27
7BMI_U4B,30,0.35710312825268004,0.23014974962281276,8,9
7BNH_BEZ,30,0.2832035595105673,0.21379310344827587,26,3
7BTT_F8R,30,0.017130144605116793,0.03908045977011494,18,9
7C0U_FGO,30,-0.2596218020022247,-0.1632183908045977,25,10
7C3U_AZG,30,-0.1710789766407119,-0.08505747126436781,16,29
7C6P_SQH,30,-0.46650349602891633,-0.3718284467934654,23,24
7C8Q_DSG,30,0.6898776418242492,0.5310344827586208,5,5
7CD9_FVR,30,0.36017797552836484,0.2827586206896552,1,1
7CIJ_G0C,25,0.8562636318257405,0.7071067811865474,1,1
7CL8_TES,30,0.6937678267175934,0.48542531525169963,19,5
7CNQ_G8X,30,0.22758620689655173,0.1632183908045977,20,3
7CNS_PMV,30,0.5243604004449388,0.3563218390804598,10,9
7CTM_BDP,30,-0.13103448275862067,-0.08505747126436781,7,11
7CUO_PHB,30,0.4540600667408231,0.3195402298850575,3,3
7D0P_1VU,30,0.48787541713014465,0.3103448275862069,6,17
7D5C_GV6,29,0.5906403940886699,0.4137931034482758,3,12
7D8Q_GZF,30,0.06740823136818688,0.07126436781609195,8,6
7D9L_GSF,30,0.6102335928809789,0.4298850574712643,9,9
7DIN_MPO,30,0.26896551724137935,0.18620689655172415,21,14
7DKT_GLF,30,0.8912874648145526,0.7151138542960942,4,3
7DQL_4CL,30,-0.21856222953263155,-0.1270221402089478,25,29
7DUA_HJ0,30,-0.06829810901001113,-0.029885057471264367,16,11
7E2S_BLA,30,0.43670745272525024,0.31494252873563217,10,6
7E4L_MDN,30,0.6814238042269187,0.4482758620689655,5,7
7EBG_J0L,30,0.4002224694104561,0.2781609195402299,1,1
7ECR_SIN,30,0.44827586206896547,0.33333333333333337,14,9
7ED2_A3P,30,0.4589543937708565,0.3241379310344828,11,12
7ELT_TYM,30,0.6422691879866518,0.4666666666666667,5,2
7EN7_J79,30,0.16307007786429364,0.12643678160919541,8,28
7EPV_FDA,30,0.2738598442714127,0.18160919540229886,14,4
7ES1_UDP,30,0.46212037219988555,0.3406216294417629,8,15
7F51_BA7,30,0.36240266963292544,0.26436781609195403,14,7
7F5D_EUO,30,0.20273729848840386,0.14763640862887104,4,4
7F8T_FAD,30,0.20622914349276972,0.14022988505747128,7,3
7FB7_8NF,30,0.8218934303834268,0.6168013289891382,12,14
7FHA_ADX,30,0.8402669632925472,0.67816091954023,6,3
7FT9_4MB,30,-0.09766407119021134,-0.08045977011494253,28,22
7JG0_GAR,30,-0.3975528364849833,-0.2735632183908046,29,29
7JGW_V9S,30,0.7032258064516129,0.5218390804597701,7,2
7JHQ_VAJ,30,0.6395995550611792,0.4942528735632184,2,3
7JMV_4NC,30,0.44694104560622916,0.3103448275862069,1,1
7JNB_A2G,29,0.3950738916256157,0.2660098522167487,13,9
7JR8_VH7,30,0.6409343715239153,0.48965517241379314,3,2
7JUD_MMA,30,0.3325917686318131,0.2413793103448276,15,8
7JXX_VP7,30,0.2987764182424916,0.21379310344827587,18,2
7JY3_VUD,30,0.44160177975528364,0.31494252873563217,19,3
7K0V_VQP,30,0.3939933259176863,0.2827586206896552,11,19
7K41_VUA,30,-0.01935483870967742,-0.020689655172413793,13,20
7KB1_WBJ,30,0.8545050055617353,0.6551724137931034,4,2
7KC5_BJZ,30,0.7161290322580645,0.5310344827586208,10,5
7KFO_IAC,30,0.3232480533926585,0.2413793103448276,25,4
7KLX_WOV,30,0.7944382647385985,0.5908045977011495,5,5
7KM8_WPD,30,0.453615127919911,0.3195402298850575,10,2
7KP6_WTP,30,0.7144287506662651,0.4741084842229943,13,4
7KQU_YOF,30,0.1332591768631813,0.12183908045977011,23,21
7KRU_ATP,30,0.8850817720804742,0.722670213815632,9,3
7KZ9_XN7,30,0.40111234705228027,0.26436781609195403,8,4
7L00_XCJ,30,0.20756395995550608,0.12643678160919541,19,21
7L03_F9F,30,0.8220244716351501,0.6275862068965518,11,4
7L5F_XNG,30,0.25383759733036704,0.17241379310344826,28,7
7L6D_BMF,30,0.6680756395995551,0.439080459770115,5,4
7L7C_XQ1,30,0.5546162402669632,0.3701149425287356,3,8
7L81_UD4,30,0.7664071190211346,0.5954022988505747,1,1
7LB3_XXS,30,0.6271412680756396,0.4482758620689655,15,6
7LCU_XTA,30,0.15283648498331479,0.08505747126436781,21,16
7LEV_0JO,30,0.8269187986651836,0.67816091954023,2,2
7LJN_GTP,30,0.6292134870396131,0.43728452428334424,17,2
7LMO_NYO,30,0.5270300333704115,0.37471264367816093,14,8
7LOE_Y84,30,0.8972191323692991,0.7563218390804598,5,3
7LOU_IFM,30,-0.22625139043381537,-0.1632183908045977,21,26
7LT0_ONJ,30,0.3388209121245828,0.23218390804597702,6,2
7LZD_YHY,30,0.643159065628476,0.4574712643678161,10,3
7LZQ_YJV,30,0.03136818687430478,0.011494252873563218,22,6
7M3H_YPV,30,0.5781979977753059,0.3977011494252874,1,1
7M41_YQG,30,0.48565072302558404,0.3425287356321839,5,13
7M6K_YRJ,30,0.056729699666295874,0.043678160919540236,29,3
7MAE_XUS,30,0.3908787541713014,0.28735632183908044,8,7
7MEU_MGP,30,0.43492769744160176,0.31494252873563217,8,20
7MFP_Z7P,30,0.6514578878228234,0.4705910525045265,3,2
7MGT_ZD4,30,-0.24983314794215797,-0.15402298850574714,27,30
7MGY_ZD1,17,0.8767628870513795,0.7306322805705786,1,1
7MMH_ZJY,30,0.15951056729699667,0.10804597701149425,7,11
7MOI_HPS,30,0.3441601779755284,0.25057471264367814,18,8
7MRH_ZMJ,30,0.8103237340163617,0.6398163039514194,2,2
7MS7_ZQ1,30,-0.31835372636262516,-0.21379310344827587,16,30
7MSR_DCA,30,0.49365962180200224,0.38390804597701156,2,2
7MWN_WI5,30,0.6244716351501668,0.4574712643678161,3,3
7MWU_ZPM,30,0.016240266963292546,0.03448275862068966,12,18
7MY1_IPE,30,0.5105672969966629,0.3563218390804598,15,7
7MYU_ZR7,30,0.189321468298109,0.14022988505747128,2,23
7MZS_GLA,30,0.22091212458286985,0.15402298850574714,20,14
7N03_ZRP,30,0.8242491657397107,0.6827586206896552,2,13
7N4N_0BK,30,0.04672377379007028,0.032220964947193786,28,15
7N4W_P4V,30,0.4794215795328142,0.3425287356321839,4,5
7N6F_0I1,30,0.025583982202447165,0.029885057471264367,14,18
7N7B_T3F,30,0.5612903225806452,0.39310344827586213,5,2
7N7H_CTP,30,0.18086763070077863,0.08505747126436781,5,4
7NA4_1I9,30,0.26896551724137935,0.17241379310344826,10,19
7NB4_U6Q,30,0.7348164627363738,0.5816091954022989,1,1
7NF0_BYN,30,0.4175750834260289,0.28735632183908044,1,1
7NF3_4LU,30,0.22625139043381537,0.167816091954023,1,1
7NFB_GEN,30,0.18050986797539945,0.17110760919148824,30,2
7NGW_UAW,30,0.418020022246941,0.2827586206896552,2,7
7NLK_UHK,30,0.33793103448275863,0.23218390804597702,3,8
7NLV_UJE,30,0.8264738598442714,0.6091954022988506,5,14
7NML_I7B,30,0.3299221357063403,0.21379310344827587,13,19
7NP6_UK8,30,0.5159065628476084,0.3517241379310345,4,16
7NPL_UKZ,30,0.13281423804226916,0.07126436781609195,18,2
7NR6_UO8,30,0.18622761267756585,0.11047187981895011,10,26
7NR8_UOE,30,0.5759733036707452,0.3977011494252874,8,11
7NSW_HC4,30,0.3913236929922136,0.25057471264367814,18,5
7NTG_F6R,30,0.4994438264738598,0.3471264367816092,1,1
7NU0_DCL,30,0.4447413042545928,0.30520741103880034,6,21
7NUT_GLP,29,0.43054187192118215,0.29556650246305416,22,6
7NXO_UU8,30,0.5692992213570635,0.37471264367816093,4,4
7O0N_CDP,30,0.3503893214682981,0.25517241379310346,27,4
7O1T_5X8,30,0.03136818687430478,0.02528735632183908,7,2
7OCB_V88,30,0.625361512791991,0.4482758620689655,1,1
7ODX_DGP,30,0.5577308120133482,0.36091954022988504,8,21
7ODY_DGI,30,0.40778642936596216,0.28735632183908044,7,8
7OEO_V9Z,30,0.6002892461219506,0.44188751927580044,4,8
7OFF_VCB,30,0.4255839822024471,0.28735632183908044,1,1
